case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,d2_publication_metadata_audit_passed,reference_d2_batch_count,candidate_d2_batch_count,reference_d2_full_audit_total,candidate_d2_contract_validation_total,candidate_d2_full_content_audit_total,candidate_d2_identity_reuse_total,reference_d2_builtin_reuse_total,candidate_d2_contract_rejection_total,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d1_fusion_p50_ms,candidate__d1_fusion_p50_ms,raw_relative_change__d1_fusion_p50_ms,improvement_pct__d1_fusion_p50_ms,reference__d1_fusion_p95_ms,candidate__d1_fusion_p95_ms,raw_relative_change__d1_fusion_p95_ms,improvement_pct__d1_fusion_p95_ms,reference__d1_fusion_max_ms,candidate__d1_fusion_max_ms,raw_relative_change__d1_fusion_max_ms,improvement_pct__d1_fusion_max_ms,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__d3_assignment_wall_s,candidate__d3_assignment_wall_s,raw_relative_change__d3_assignment_wall_s,improvement_pct__d3_assignment_wall_s,reference__d5_active_vision_wall_s,candidate__d5_active_vision_wall_s,raw_relative_change__d5_active_vision_wall_s,improvement_pct__d5_active_vision_wall_s,reference__d7_guidance_wall_s,candidate__d7_guidance_wall_s,raw_relative_change__d7_guidance_wall_s,improvement_pct__d7_guidance_wall_s,reference__module_publication_bus_wall_s,candidate__module_publication_bus_wall_s,raw_relative_change__module_publication_bus_wall_s,improvement_pct__module_publication_bus_wall_s,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor
short_seed_1101,short,1101,2.2,True,True,True,True,True,9,9,27,27,27,5346,5346,0,3.7737702029990032,3.194303320487961,-0.1535511839196095,15.35511839196095,25.26089397724718,23.521341994637623,-0.06886343706506953,6.8863437065069535,183.6263829813106,182.13322874507867,-0.008131479866833205,0.8131479866833204,189.46684600086883,184.8954989691265,-0.02412742455068562,2.412742455068562,1.1307241480681114,1.1202511340379715,-0.009262218418199936,0.9262218418199936,0.6307174300309271,0.541612156026531,-0.1412760608185932,14.12760608185932,0.5971105039934628,0.746246351103764,0.2497625583755164,-24.97625583755164,0.461289060942363,0.46133787400322035,0.00010581881295350005,-0.010581881295350004,0.6030649559688754,0.619679578114301,0.02755030280068706,-2.755030280068706,0.7995634741382673,0.8736219559796154,0.09262364307119574,-9.262364307119574,10.429911405954044,9.655148940975778,-0.074282746499264,7.4282746499264,17.66,16.79,-0.049263873159682954,4.926387315968295,998548.0,872648.0,-0.12608307262144633,12.608307262144633,0.21093180127533037,0.22785769680500254,0.08024345038223375,8.024345038223375
short_seed_1102,short,1102,2.2,True,True,True,True,True,9,9,27,27,27,5364,5364,0,3.836149545153603,3.1965303656761535,-0.1667346832934373,16.67346832934373,25.179318996379152,23.621026484761387,-0.061887794179097975,6.188779417909798,185.1677374972496,181.72363600751848,-0.018599900480947812,1.8599900480947813,299.16566296014935,189.9996369611472,-0.36490158970397524,36.49015897039752,1.1363497565616854,1.1231770059093833,-0.011592162163311019,1.159216216331102,0.7206644290708937,0.5400954749784432,-0.25055899362931844,25.055899362931843,0.6387598719447851,0.6896963009494357,0.07974268773266575,-7.974268773266576,0.4679820029414259,0.5328218389768153,0.13855198624701176,-13.855198624701176,0.5505643539945595,0.5493825050070882,-0.002146613704458954,0.21466137044589542,0.795319992932491,0.7970097358338535,0.0021246075999323067,-0.21246075999323066,10.585845920955762,9.686801096017007,-0.08492895434638856,8.492895434638855,17.89,16.99,-0.050307434320849755,5.030743432084975,1053472.0,874228.0,-0.17014595546915343,17.01459554691534,0.20782467612199754,0.2271131592559065,0.09281132295659737,9.281132295659738
short_seed_1103,short,1103,2.2,True,True,True,True,True,9,9,27,27,27,5340,5340,0,3.8819545434671454,3.3725569211528637,-0.1312219441547907,13.122194415479068,18.572295957710594,15.643616032321006,-0.15769078481509435,15.769078481509435,184.0256709605455,182.85193231422454,-0.006378124531183565,0.6378124531183564,270.6037210300565,247.92014004196972,-0.08382582804752803,8.382582804752802,1.1528241200721823,1.1449839510023594,-0.00680083712104495,0.680083712104495,0.6229943349026144,0.5437453849590383,-0.12720653383784636,12.720653383784637,0.7580745289451443,0.6697497660643421,-0.11651197805538392,11.651197805538391,0.4621346990461461,0.4646553851198405,0.0054544401857231604,-0.5454440185723161,0.5449280080501921,0.5437712309649214,-0.002122807174859297,0.21228071748592972,0.7801951041328721,0.7778821968240663,-0.0029645242536818477,0.2964524253681848,10.527137347962707,9.735864991031121,-0.07516500742575748,7.516500742575747,17.64,16.86,-0.044217687074829995,4.421768707482999,1072024.0,867184.0,-0.19107781169078306,19.107781169078304,0.20898368922922442,0.22596862241071392,0.08127396565795869,8.12739656579587
short_seed_1104,short,1104,2.2,True,True,True,True,True,9,9,27,27,27,5346,5346,0,3.789711700868793,3.3101438173325732,-0.12654468766747573,12.654468766747573,27.150168491061777,25.25686551234685,-0.06973448357560766,6.973448357560766,190.7160892878892,187.90682106046003,-0.014730106085535969,1.4730106085535968,319.67121397610754,193.66757199168205,-0.39416636993108517,39.41663699310852,1.1649647449958138,1.2101450937916525,0.03878258890658619,-3.8782588906586186,0.7150514719542116,0.5400533329229802,-0.24473502383397294,24.473502383397296,0.6890953640104271,0.7776140719652176,0.12845639744203968,-12.845639744203968,0.4816672828164883,0.4780583180254325,-0.007492650881232384,0.7492650881232384,0.5688781960052438,0.5616953700082377,-0.012626298647839086,1.2626298647839085,0.8595715602859855,0.8231020328821614,-0.042427564020022214,4.242756402002222,10.663765754026826,9.872354454011656,-0.07421499292745803,7.4214992927458034,18.04,17.11,-0.051552106430155197,5.155210643015519,1002224.0,869596.0,-0.13233368987372085,13.233368987372085,0.2063061071244219,0.22284451092677537,0.08016439276991089,8.016439276991088
short_seed_1105,short,1105,2.2,True,True,True,True,True,9,9,27,27,27,5343,5343,0,3.5459424042492174,3.0182614627992734,-0.14881260925659898,14.881260925659898,20.223855040967464,18.92397803021595,-0.06427444263808035,6.427444263808035,192.96570453443564,195.3735399991274,0.012478048731514639,-1.247804873151464,307.00282100588083,215.10837896494195,-0.29932767959542167,29.93276795954217,1.1722146808169782,1.1649695194792002,-0.006180746117877007,0.6180746117877006,0.6460300919716246,0.5666420120396651,-0.12288604032309759,12.28860403230976,0.7133627529838122,0.6890892840456218,-0.0340268241321275,3.4026824132127502,0.4828301770030521,0.4789437981089577,-0.00804916320313138,0.804916320313138,0.5636703782365657,0.6645266738487408,0.1789277909683713,-17.89277909683713,0.8098118308698758,0.8871074842754751,0.0954489061027555,-9.54489061027555,10.195208493969403,9.669823760981672,-0.051532514837583115,5.153251483758312,17.29,16.96,-0.019086176980913725,1.9086176980913725,943024.0,858344.0,-0.089796230000509,8.9796230000509,0.215787641939969,0.22751190242754313,0.05433240004928439,5.4332400049284395
short_seed_1106,short,1106,2.2,True,True,True,True,True,9,9,27,27,27,5373,5373,0,3.7500985673977993,3.3628602966782637,-0.10326082468500049,10.326082468500049,25.263199000619352,24.660339986439794,-0.023863130483387233,2.386313048338723,184.88847018452358,184.95299619389695,0.00034899963912821694,-0.03489996391282169,306.14154803333804,289.832444046624,-0.05327308263606877,5.327308263606877,1.1388251112075523,1.1609937326866202,0.01946622116152802,-1.946622116152802,0.648075478093233,0.578201645927038,-0.1078174294941349,10.781742949413491,0.7404063920257613,0.6727490019984543,-0.09137872222063817,9.137872222063818,0.4681273201131262,0.47554735600715503,0.015850465408076886,-1.5850465408076886,0.5364196100272238,0.5539704830152914,0.03271855215579617,-3.2718552155796172,0.9933518600300886,0.8070940339821391,-0.18750438142060533,18.75043814206053,10.484236865013372,10.052671291981824,-0.041163279558449575,4.116327955844958,17.83,17.32,-0.02860347728547381,2.860347728547381,1013724.0,865736.0,-0.14598450860391982,14.598450860391981,0.20983883026732764,0.21884730298052782,0.042930437144181995,4.293043714418199
short_seed_1107,short,1107,2.2,True,True,True,True,True,9,9,27,27,27,5322,5322,0,3.3483902026782744,2.902330561832059,-0.13321614681867897,13.321614681867896,24.493216507835314,23.608823510585353,-0.03610767074904376,3.610767074904376,188.78362671239302,184.33563149301335,-0.023561340021060563,2.356134002106056,203.04927905090153,196.68020302196965,-0.03136714426518722,3.136714426518722,1.2167501942021772,1.206798057362903,-0.008179276968022125,0.8179276968022126,0.5946655790321529,0.5256968628964387,-0.11597899486290116,11.597899486290116,0.6253053420223296,0.6201579250046052,-0.008231845582954497,0.8231845582954497,0.5415148030151613,0.5327783020911738,-0.016133448015349775,1.6133448015349776,0.5511561140301637,0.5408758439589292,-0.018652192744562267,1.8652192744562268,0.8798505089944229,0.7904716509510763,-0.10158414086217583,10.158414086217583,9.927090924000368,9.290140160010196,-0.06416288204334247,6.416288204334247,16.98,16.14,-0.049469964664310945,4.946996466431094,949948.0,861276.0,-0.0933440567273156,9.33440567273156,0.22161578017595668,0.236810205455241,0.06856201876608418,6.856201876608418
short_seed_1108,short,1108,2.2,True,True,True,True,True,9,9,27,27,27,5379,5379,0,3.872048004937824,3.506692012946587,-0.09435729916708602,9.435729916708603,26.00011002505198,25.0148469931446,-0.03789457163673714,3.7894571636737138,190.43259019963438,189.55958220176396,-0.0045843413512110754,0.45843413512110753,255.66883699502796,218.36808504303917,-0.14589479261688112,14.589479261688112,1.1381183111807331,1.1393352633458562,0.0010692668355898399,-0.10692668355898399,0.6318579051294364,0.5458257989957929,-0.13615736296916284,13.615736296916284,0.830795990943443,0.7392567159840837,-0.1101826151753673,11.01826151753673,0.47484584007179365,0.479804189002607,0.010442018255995887,-1.0442018255995886,0.5680675359326415,0.5703641060972586,0.004042776640715245,-0.40427766407152455,0.8325842598569579,0.8359349117963575,0.004024399812669049,-0.4024399812669049,10.754060268984176,10.091337467019912,-0.06162535687805522,6.162535687805522,18.19,17.58,-0.033534909290819294,3.3534909290819295,1008032.0,873384.0,-0.13357512459921908,13.357512459921908,0.20457389534490783,0.2180087631783149,0.06567244472104392,6.567244472104392
short_seed_1109,short,1109,2.2,True,True,True,True,True,9,9,27,27,27,5367,5367,0,3.6800853921449743,3.1564049620646983,-0.1423011626844462,14.23011626844462,22.061705007217824,17.083422979339957,-0.22565264227081025,22.565264227081023,190.74070722563195,187.75800897856243,-0.015637449868219338,1.5637449868219337,298.188371991273,278.23391801211983,-0.06691895410239936,6.691895410239936,1.1476484267623164,1.2387673761113547,0.0793962220695916,-7.93962220695916,0.7280678489478305,0.5548601918853819,-0.23790043374770653,23.790043374770654,0.6279030030709691,0.6904970909818076,0.0996875116135791,-9.96875116135791,0.4677396009210497,0.4764512390247546,0.018624974422842052,-1.862497442284205,0.5508101342129521,0.5537774870172143,0.0053872516497943815,-0.5387251649794381,0.7869572248309851,0.7925507724285126,0.007107816563637027,-0.7107816563637027,10.23308985697804,9.571411167969927,-0.0646606937157801,6.466069371578009,17.29,16.73,-0.03238866396761127,3.238866396761127,999468.0,864912.0,-0.13462762189484806,13.462762189484806,0.21498882847195946,0.2298511642005465,0.06913073499782102,6.913073499782102
short_seed_1110,short,1110,2.2,True,True,True,True,True,9,9,27,27,27,5388,5388,0,3.92814564780565,3.3213808099972084,-0.15446597255053254,15.446597255053254,25.860624009510502,24.60548549424857,-0.048534734304955036,4.853473430495503,191.14333047182296,187.99389187770427,-0.016476842725009235,1.6476842725009235,299.774740007706,196.71770004788414,-0.3437816006684642,34.37816006684642,1.1410780545556918,1.3279880121699534,0.16380120261539854,-16.380120261539854,0.6360457491246052,0.5502588170347735,-0.13487541141168055,13.487541141168055,0.6233860339852981,0.7105335400556214,0.13979701391959412,-13.979701391959413,0.4680486281285994,0.4746169829159044,0.014033487959503857,-1.4033487959503856,0.5571757460129447,0.5621805760310963,0.00898249798912689,-0.8982497989126891,0.9096635397872888,0.8851320059620775,-0.02696770042135311,2.696770042135311,10.71209775202442,10.015467719989829,-0.06503208317931365,6.503208317931366,18.12,17.29,-0.04580573951434889,4.580573951434888,1049320.0,874152.0,-0.16693477680783744,16.693477680783744,0.20537527297902358,0.21966023569813217,0.06955541683232536,6.955541683232536
long_seed_1101,long,1101,10.0,True,True,True,True,True,48,48,144,144,144,28710,28710,0,31.538887932314537,23.45932013593847,-0.2561779544578614,25.61779544578614,32.102310040500015,27.769063017331064,-0.13498240524442515,13.498240524442515,252.0303529920057,210.99893138743946,-0.16280349218837045,16.280349218837046,576.697296986822,571.6343979584053,-0.008779127377343012,0.8779127377343012,6.825797044846695,6.501486693217885,-0.04751245158595161,4.751245158595161,5.71726088388823,3.800046684977133,-0.3353378895677096,33.53378895677096,2.006546099029947,2.4770928699872456,0.23450583626500365,-23.450583626500364,3.125762554234825,2.9684178446768783,-0.05033802370713478,5.033802370713477,3.9009144396986812,3.6668538607191294,-0.06000146442525701,6.0001464425257005,3.8254994177259505,3.9062093046377413,0.02109786934950533,-2.1097869349505327,69.20157758099958,56.62921479996294,-0.18167740130376148,18.16774013037615,99.47,86.81,-0.12727455514225391,12.727455514225392,2276596.0,1623028.0,-0.2870812388320106,28.708123883201058,0.14450537617144818,0.17658729748106175,0.22201195664547474,22.201195664547473
long_seed_1102,long,1102,10.0,True,True,True,True,True,48,48,144,144,144,28914,28914,0,33.758400153776165,24.47454172518337,-0.2750088388757462,27.500883887574616,30.6281810044311,27.109913004096597,-0.11487028889588642,11.487028889588641,258.0052374280058,215.42618842213417,-0.16503172350426779,16.50317235042678,642.0297140139155,445.46056003309786,-0.3061683122917846,30.61683122917846,6.611490666982718,6.619665727426764,0.0012364927753541939,-0.12364927753541939,6.090111211175099,3.6812793280696496,-0.39553167414830515,39.55316741483051,2.3115184639464132,2.150209601793904,-0.06978480365547664,6.9784803655476635,2.990877289965283,3.0685422977549024,0.02596729997923812,-2.596729997923812,3.640172073908616,3.652438593970146,0.0033697637948084855,-0.3369763794808486,3.6686450872803107,3.5709897179040127,-0.02661891980635642,2.6618919806356423,71.31819968402851,57.776717100990936,-0.18987415053986773,18.987415053986773,109.12,88.69,-0.18722507331378305,18.722507331378306,2325100.0,1621884.0,-0.30244548621564665,30.244548621564665,0.14021666340856145,0.17308010045846806,0.234376116582874,23.4376116582874
long_seed_1103,long,1103,10.0,True,True,True,True,True,48,48,144,144,144,28728,28728,0,30.098863872815855,21.860609512310475,-0.27370648923216856,27.370648923216855,31.104293011594564,26.772330049425364,-0.13927218858677803,13.927218858677804,255.8805076172575,217.3728991765528,-0.15049058953057826,15.049058953057825,545.9852690109983,525.9548249887303,-0.036686784715916146,3.6686784715916145,6.301143481687177,6.158000013674609,-0.022717062137782,2.2717062137782,5.800867935118731,3.8415194439003244,-0.3377681604086205,33.77681604086205,2.3785625259624794,2.2525012690457515,-0.052998924998079455,5.299892499807946,2.994085520156659,2.960869516187813,-0.011093872818672225,1.1093872818672226,3.9134475205792114,3.5844899341464043,-0.08405825929770476,8.405825929770476,3.44793488382129,3.9092306972597726,0.1337890154489333,-13.37890154489333,66.18344709899975,54.550911616999656,-0.1757620068443957,17.57620068443957,95.78,84.97,-0.11286281060764254,11.286281060764255,2000836.0,1573644.0,-0.2135067541767541,21.35067541767541,0.1510951822295024,0.18331499334437718,0.21324181644610782,21.324181644610782
