case,step,time_s,version,total_cost,candidate_total_cost,previous_total_cost_current,assignment_count,unassigned_count,high_threat_count,unassigned_high_threat_count,reassignment_event,changed_edges,runtime_ms,decision_state
no_hysteresis,38,19.0,39,17.017445664982755,17.017445664982755,-1.0,6,2,2,0,0,0,0.15713899847469293,accepted_no_hysteresis
no_hysteresis,39,19.5,40,17.004963438968964,17.004963438968964,-1.0,6,2,2,0,0,0,0.15600900223944336,accepted_no_hysteresis
no_hysteresis,40,20.0,41,16.995027004693014,16.995027004693014,-1.0,6,2,2,0,0,0,0.1644789990677964,accepted_no_hysteresis
no_hysteresis,41,20.5,42,16.987639428217086,16.987639428217086,-1.0,6,2,2,0,0,0,0.15606899978592992,accepted_no_hysteresis
no_hysteresis,42,21.0,43,16.98279944154834,16.98279944154834,-1.0,6,2,2,0,0,0,0.15614099902450107,accepted_no_hysteresis
no_hysteresis,43,21.5,44,16.980501485717785,16.980501485717785,-1.0,6,2,2,0,0,0,0.16079000124591403,accepted_no_hysteresis
no_hysteresis,44,22.0,45,16.980735762272936,16.980735762272936,-1.0,6,2,2,0,0,0,0.15637999968021177,accepted_no_hysteresis
no_hysteresis,45,22.5,46,16.983488292976354,16.983488292976354,-1.0,6,2,2,0,0,0,0.1615799992578104,accepted_no_hysteresis
no_hysteresis,46,23.0,47,17.25947344981867,17.25947344981867,-1.0,5,3,2,0,1,3,0.14917299995431677,accepted_no_hysteresis
no_hysteresis,47,23.5,48,17.26232458054463,17.26232458054463,-1.0,5,3,2,0,0,0,0.1500430007581599,accepted_no_hysteresis
no_hysteresis,48,24.0,49,17.267647147304178,17.267647147304178,-1.0,5,3,2,0,0,0,0.14804200327489525,accepted_no_hysteresis
no_hysteresis,49,24.5,50,17.275431508023498,17.275431508023498,-1.0,5,3,1,0,0,0,0.14549299885402434,accepted_no_hysteresis
no_hysteresis,50,25.0,51,16.731218915077847,16.731218915077847,-1.0,6,2,1,0,1,4,0.15751699902466498,accepted_no_hysteresis
no_hysteresis,51,25.5,52,16.760103035061128,16.760103035061128,-1.0,6,2,1,0,0,0,0.16206500004045665,accepted_no_hysteresis
no_hysteresis,52,26.0,53,16.789174424639643,16.789174424639643,-1.0,6,2,1,0,0,0,0.1585889986017719,accepted_no_hysteresis
no_hysteresis,53,26.5,54,16.81208698222994,16.81208698222994,-1.0,6,2,1,0,1,2,0.16014599896152504,accepted_no_hysteresis
no_hysteresis,54,27.0,55,16.83435038524215,16.83435038524215,-1.0,6,2,1,0,0,0,0.15449399870703928,accepted_no_hysteresis
no_hysteresis,55,27.5,56,16.85628960050519,16.85628960050519,-1.0,6,2,1,0,0,0,0.16635099746054038,accepted_no_hysteresis
no_hysteresis,56,28.0,57,16.842431818035482,16.842431818035482,-1.0,7,1,1,0,1,4,0.16514199887751602,accepted_no_hysteresis
no_hysteresis,57,28.5,58,16.80925607196188,16.80925607196188,-1.0,7,1,1,0,0,0,0.16288400001940317,accepted_no_hysteresis
no_hysteresis,58,29.0,59,16.776399805332755,16.776399805332755,-1.0,7,1,1,0,0,0,0.16280400086543523,accepted_no_hysteresis
no_hysteresis,59,29.5,60,16.74391005722517,16.74391005722517,-1.0,7,1,1,0,0,0,0.15572999836876988,accepted_no_hysteresis
no_hysteresis,60,30.0,61,16.7118342908265,16.7118342908265,-1.0,7,1,1,0,0,0,0.16047400276875123,accepted_no_hysteresis
no_hysteresis,61,30.5,62,16.68022035159014,16.68022035159014,-1.0,7,1,1,0,0,0,0.1543159996799659,accepted_no_hysteresis
no_hysteresis,62,31.0,63,16.64911642167622,16.64911642167622,-1.0,7,1,1,0,0,0,0.15766000069561414,accepted_no_hysteresis
no_hysteresis,63,31.5,64,16.618570970638853,16.618570970638853,-1.0,7,1,1,0,0,0,0.1546380008221604,accepted_no_hysteresis
no_hysteresis,64,32.0,65,16.595112171736808,16.595112171736808,-1.0,7,1,1,0,0,0,0.15635700037819333,accepted_no_hysteresis
no_hysteresis,65,32.5,66,16.57827529938035,16.57827529938035,-1.0,7,1,1,0,0,0,0.15909499779809266,accepted_no_hysteresis
no_hysteresis,66,33.0,67,16.562253516066797,16.562253516066797,-1.0,7,1,1,0,0,0,0.15747599900350906,accepted_no_hysteresis
no_hysteresis,67,33.5,68,16.547074251900696,16.547074251900696,-1.0,7,1,1,0,0,0,0.16228199820034206,accepted_no_hysteresis
