metric,count,mean,std,stderr,ci95_low,ci95_high,median,p05,p95
detection_probability,100,0.8636209992193598,0.05122881040858902,0.005122881040858902,0.8535801523792763,0.8736618460594432,0.8661202185792349,0.7795081967213114,0.9426229508196722
false_alarm_rate,100,0.04466666666666666,0.029481109247603554,0.0029481109247603554,0.038888369254136364,0.050444964079196956,0.03333333333333333,0.0,0.1
missed_detection_rate,100,0.13637900078064014,0.05122881040858903,0.005122881040858903,0.1263381539405567,0.14641984762072358,0.13387978142076504,0.05737704918032787,0.2204918032786885
track_rmse,100,2.4244499013248464,0.8528756482353856,0.08528756482353857,2.2572862742707107,2.591613528378982,2.3185681008815404,1.0907791450299587,3.6723203552060295
track_continuity,100,0.8636209992193598,0.05122881040858902,0.005122881040858902,0.8535801523792763,0.8736618460594432,0.8661202185792349,0.7795081967213114,0.9426229508196722
id_switch_count,100,5.43,3.3792444317173818,0.3379244431717382,4.767668091383393,6.092331908616607,5.0,1.0,12.0
duplicate_assignment_count,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unassigned_high_threat_count,100,20.93,6.372692690002565,0.6372692690002565,19.6809522327595,22.1790477672405,26.0,13.0,26.0
failover_time,100,4.1691625437025985,1.9430440534449187,0.19430440534449187,3.7883259092273947,4.549999178177803,4.235224850297552,1.43402719222362,7.475565107099643
consensus_rounds,100,4.93,2.011356645539412,0.2011356645539412,4.535774097474275,5.324225902525725,5.0,2.0,8.0
degraded_completion_rate,100,0.8333333333333331,0.1401458275304203,0.01401458275304203,0.8058647511373708,0.8608019155292955,0.8333333333333334,0.6666666666666666,1.0
terminal_association_accuracy,100,0.8216666666666668,0.3258890972458325,0.03258890972458325,0.7577924036064836,0.88554092972685,1.0,0.0,1.0
terminal_id_switch_count,100,0.29,0.4983812179284432,0.04983812179284432,0.19231728128602513,0.38768271871397486,0.0,0.0,1.0
ambiguous_fov_event_count,100,1.66,1.718702823043994,0.1718702823043994,1.323134246683377,1.9968657533166227,2.0,0.0,5.0
friend_overlap_hold_count,100,0.28,0.697470176039554,0.0697470176039554,0.14329584549624746,0.4167041545037526,0.0,0.0,2.0
time_to_terminal_lock,100,2.30772093140221,1.1046027560606055,0.11046027560606056,2.091218791214331,2.5242230715900886,2.48868895399821,0.0,3.977460639697543
constraint_violation_count,100,0.35,0.6256309946079569,0.06256309946079569,0.2273763250568404,0.47262367494315954,0.0,0.0,2.0
human_override_count,100,0.2,0.42640143271122094,0.042640143271122095,0.1164253191886007,0.2835746808113993,0.0,0.0,1.0
