path,source_root,source_kind,file_count,logical_bytes,hashed_count,hashed_bytes,model_count,nonregular_count,error_count
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_intercept_p1_fix_20260707_003,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,139,16573828,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_intercept_p1_fix_20260707_004,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,139,16495005,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,130,15437460,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_002,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,130,15075026,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_003,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,154,24127921,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_004,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,154,24031282,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_005,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,154,24189983,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_006,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,13,3831948,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_007,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,154,24104639,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_2v2_actor_sequence_008,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,156,24002091,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_5v5_active_center_replan_20260704_070009,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,116,17810954,0,0,0,0,0
