track_a_id,track_b_id,valid,rejection_reason,cost,reprojection_rms_px,reprojection_max_px,ray_residual_rms_m,fitted_speed_mps,median_nearest_time_delta_s,condition_number,observation_count,inlier_count,outlier_count,reference_timestamp,position_ned,velocity_ned
Optical_A-T0001,Optical_B-T0002,False,reprojection,3.4172677151938875,47.37276139843038,69.4764360379236,3.470603108728076,47.7055257516732,0.04584958630285918,6.795465507555852,48,48,0,5.999150184664191,"[1555.442330423821, -508.7180035736593, -107.17268868354077]","[-47.6770591048695, 1.6475883036007986, 0.025983382628771423]"
Optical_A-T0001,Optical_B-T0004,False,reprojection,5.768841773273863,93.42900348930648,292.28541676489624,8.021379613630993,50.257681768540685,0.03000000000000025,7.077589571678548,48,48,0,6.0,"[1669.6595704813112, -472.44273476586824, -106.09812115478144]","[-50.2118769755711, 2.1447898231180034, 0.04317351814914128]"
Optical_A-T0001,Optical_B-T0007,False,reprojection,4.433143779570286,61.309068338394184,133.10980727054124,4.9446578725891195,54.53520237977814,0.027500138099231464,7.182575213109517,48,48,0,5.997500138099231,"[1709.1331032120927, -460.47312828538634, -107.28568159069722]","[-54.52323836848183, 1.1383668269267275, 0.09432594777675107]"
Optical_A-T0001,Optical_B-T0009,False,time_delta|reprojection|speed,4.316702181016166,43.955779275338756,101.49403316545308,3.915871672863856,34.41792346203119,2.6200014649051355,51.95594180489532,29,29,0,4.805001027658742,"[1805.4575014588372, -449.81940335420023, -110.03491884239979]","[-33.33221538608148, 8.55698983509808, -0.5786171930890767]"
Optical_A-T0001,Optical_B-T0012,True,,0.07364303275525974,0.7041716463156172,2.812788044159085,0.06209282765195014,49.99503092565793,0.023772241543949857,8.215062239014209,40,40,0,5.000000737186578,"[2062.1508816802766, -368.7637883140104, -113.57099277611283]","[-49.63380574007826, 5.999037007067045, -3.8826205093656085e-05]"
Optical_A-T0001,Optical_B-T0013,False,reprojection|inlier_ratio,0.8475001546049692,9.556625978559016,15.959949782226753,0.855184310768046,62.158265173516234,0.02127383818494888,5.95975135345027,48,26,22,6.0,"[1976.5540735850132, -375.55054255514153, -112.81555409627214]","[-62.138256882473414, 1.5752062821432276, 0.07540661511479696]"
Optical_A-T0001,Optical_B-T0014,False,reprojection,6.115618110506411,150.77639162115946,251.85588269178956,14.821807225791067,63.24593003306275,0.049999316099750335,12.033579408258888,35,35,0,4.2149987521258,"[2145.3177933383304, -361.19779599479085, -100.97153403984771]","[-63.18477822192649, 1.8025745764475687, -2.1171187234960653]"
Optical_A-T0001,Optical_B-T0015,False,reprojection,5.8219994979187915,92.62109402278732,110.09127134443256,8.885086958568944,53.1332803123927,0.02499861980269724,8.495365939314008,48,48,0,6.0,"[2194.22133319159, -304.97377802331124, -105.91578076292407]","[-52.669406510921505, 7.005645435713518, -0.0051547709558628085]"
Optical_A-T0001,Optical_B-T0016,False,reprojection,1.702552566508787,22.57924558796348,35.94679196989269,2.272474605979268,54.76015734004209,0.04499956433964902,9.042886646165698,39,39,0,4.805001027658742,"[2241.490334421828, -318.4147535742088, -112.68724189656841]","[-54.40130294610596, 6.253789813818173, -0.2513615657835482]"
Optical_A-T0001,Optical_B-T0017,False,speed|inlier_ratio,0.8450693502799518,7.60522792040805,13.5274280975528,0.7396003649833944,74.28133502848587,0.036273593722648156,8.428335453508298,40,18,22,5.000000737186578,"[2132.0514502294536, -349.52813325890196, -113.07679157591996]","[-74.26520667576742, -1.5474647844392848, 0.03411393605246171]"
Optical_A-T0001,Optical_B-T0018,False,reprojection|speed,5.4964982920077805,72.99170187201433,110.73609243341477,7.593700405212823,71.24360314930718,0.052548052329183026,8.786531683881355,41,41,0,5.195000446714413,"[2348.878640186044, -277.9632023116091, -108.92429019736207]","[-71.21115131650936, 2.0714971233701363, -0.5760360588083939]"
Optical_A-T0001,Optical_B-T0020,False,reprojection|speed,6.082435745959437,78.50826383275023,190.9287474084369,7.893199483098188,91.46686420927031,0.04377294221246264,8.53730468873465,40,40,0,5.000000737186578,"[2185.0150784150537, -335.63548553092517, -109.4938331467715]","[-91.23131961167812, -6.532736607241418, -0.5974300037154343]"
Optical_A-T0001,Optical_B-T0021,False,reprojection,5.859708596736765,82.2870041445094,100.08449109377172,8.267017988011165,57.9842492320071,0.040000000000000036,8.880658750305468,48,48,0,6.0,"[2324.5748815722113, -263.93074274934327, -107.48281134769258]","[-57.577724129978805, 6.853818472371337, 0.06336686321954521]"
