match_id,track_a_id,track_b_id,cost,reference_timestamp,position_ned,velocity_ned
PAIR-001,Optical_A-T0001,Optical_B-T0012,0.07364303275525974,5.000000737186578,"[2062.1508816802766, -368.7637883140104, -113.57099277611283]","[-49.63380574007826, 5.999037007067045, -3.8826205093656085e-05]"
PAIR-002,Optical_A-T0002,Optical_B-T0002,0.12460009729848062,5.999150184664191,"[1472.4090345936856, -426.57348523037314, -103.66405064986508]","[-49.6400825086472, 6.004256255834463, -6.074263066535579e-06]"
PAIR-003,Optical_A-T0003,Optical_B-T0013,0.06382047614213994,6.00000110514744,"[1931.5198856033442, -345.0886053089321, -112.1182840267482]","[-49.6501603633354, -5.999778851843871, 4.898893902893775e-05]"
PAIR-004,Optical_A-T0004,Optical_B-T0015,0.07906170384092903,6.0,"[2120.8229262829423, -261.39582048083355, -97.1313659428064]","[-49.63179024660499, 6.007539945393333, 1.2502791612911679e-05]"
PAIR-005,Optical_A-T0005,Optical_B-T0045,0.11694664499336366,6.155000139841975,"[1519.1802492351328, -443.315143973095, -101.5645773004629]","[-49.64203859198784, -5.9965093456690965, -5.176078060109557e-06]"
PAIR-006,Optical_A-T0006,Optical_B-T0016,0.06009210310098778,4.774999936885504,"[2019.6257614117844, -187.18379233313158, -108.75495258820517]","[-49.63261130758685, 5.997805799568425, -2.7820133368217093e-05]"
PAIR-007,Optical_A-T0007,Optical_B-T0049,0.2240882721105439,6.25,"[1270.969688605107, -398.6245952059488, -82.48199912638408]","[-49.64206929590415, -5.997036177025677, -1.9172958189539457e-05]"
PAIR-008,Optical_A-T0011,Optical_B-T0018,0.058943548919168434,3.767500149798195,"[2204.5043123396777, -153.43920469797428, -99.87263719092518]","[-49.63893131364722, -5.999578173587736, 1.6686702977003996e-06]"
PAIR-009,Optical_A-T0013,Optical_B-T0022,0.07024830679329797,6.0000003047070045,"[2066.788656088184, -6.749303547949161, -107.8453673005495]","[-49.63301344333746, 5.999040825291376, -2.100303348545607e-05]"
PAIR-010,Optical_A-T0014,Optical_B-T0040,0.09723108367537633,6.224999937414331,"[1839.2175446004849, -103.28773062460127, -115.2967313154582]","[-49.6319923536479, -6.003222560016994, -4.9354657588374096e-05]"
PAIR-011,Optical_A-T0017,Optical_B-T0038,0.6918232831085457,2.2443526923877952,"[2694.6074783952995, 263.1929704918967, -120.92863119725112]","[-60.77418934376988, -8.5540996681394, 0.26658798810586526]"
PAIR-012,Optical_A-T0018,Optical_B-T0044,0.12848577008202938,5.787500727790918,"[1402.3213308394752, -250.44941512655697, -113.24367762750393]","[-49.639682262043266, -6.004644470764362, -1.62951688875701e-06]"
PAIR-013,Optical_A-T0019,Optical_B-T0007,0.13576139555659422,5.997500138099231,"[1364.817954253802, -163.68370378210884, -102.23777150930613]","[-49.6339183469087, 5.997809654405415, -1.4305679504111879e-05]"
PAIR-014,Optical_A-T0020,Optical_B-T0031,0.09436898171040817,6.001719031782696,"[2228.5622672319505, 194.52473063050962, -102.63656085757437]","[-49.65073052460946, 5.99994639928606, 6.92149968894995e-06]"
PAIR-015,Optical_A-T0021,Optical_B-T0050,0.16089120174852903,6.725000948481348,"[1301.7238482163045, -218.44954258120822, -104.74047994290777]","[-49.64663403581943, -5.999472506395762, 1.1623168368654624e-05]"
PAIR-016,Optical_A-T0022,Optical_B-T0029,0.056229359051798246,4.270000576106604,"[1909.5524594462056, 157.33303758157012, -91.286159254701]","[-49.63717123246421, -5.994985436358718, 6.192730093723675e-06]"
PAIR-017,Optical_A-T0023,Optical_B-T0017,0.09025472334062731,4.997499679691087,"[1657.3898015643772, -49.525970580940275, -109.98057292645265]","[-49.6447016550466, -6.00387732454778, 2.609818522467111e-05]"
PAIR-018,Optical_A-T0025,Optical_B-T0026,0.08896342029029276,6.0,"[1796.970953946944, 175.47910081974595, -104.20790988483641]","[-49.63008068942082, 6.000855988408086, -2.2651056941103143e-05]"
PAIR-019,Optical_A-T0026,Optical_B-T0048,0.20034830125952308,6.303928884420463,"[1214.7081877020905, -120.33538564716204, -98.34781192414205]","[-49.64233719673349, 5.997505152336007, 6.547331905873421e-06]"
PAIR-020,Optical_A-T0027,Optical_B-T0032,0.07046911275694923,4.28500164392456,"[1962.9539695021008, 265.75616464570237, -107.80328086295891]","[-49.619027645216704, 6.024089278578884, -0.00010646632758326557]"
PAIR-021,Optical_A-T0028,Optical_B-T0037,0.17058726449683917,6.001716711493976,"[2174.807122556429, 334.19138484149477, -100.03461591666245]","[-49.658493396922836, -6.015574681060457, -1.6602964361071143e-07]"
PAIR-022,Optical_A-T0029,Optical_B-T0030,0.08381651235440399,5.288186913688607,"[1804.8236710293686, 288.5727360067203, -113.43106595572054]","[-49.649107739414326, 6.003733835989522, 7.178093782811423e-05]"
PAIR-023,Optical_A-T0031,Optical_B-T0033,0.06468781510502633,6.000002136772721,"[1715.587567804547, 310.62326243563507, -102.10972081379943]","[-49.63449564758332, -6.001613926377189, -1.0553910833988045e-05]"
PAIR-024,Optical_A-T0032,Optical_B-T0034,0.11094539253068847,5.2850014202264495,"[1723.9172489603527, 361.2301808876131, -97.81759317880281]","[-49.643756436606004, 6.000364083254283, 3.2610314287806474e-06]"
PAIR-025,Optical_A-T0033,Optical_B-T0025,0.11421714204296118,6.0,"[1499.9603703833661, 190.28110389871733, -84.06984452246395]","[-49.633742041638655, -6.0020127922078075, 0.00010563437435617828]"
PAIR-026,Optical_A-T0034,Optical_B-T0035,0.07140162318455304,6.0,"[1742.498399673748, 386.278061091195, -88.57345359135608]","[-49.64745776832592, 6.000348683401654, -3.738985183954213e-05]"
PAIR-027,Optical_A-T0040,Optical_B-T0036,0.1262509244688738,5.72,"[1432.8703993432373, 445.85827293405305, -92.30755559168782]","[-49.64212156105367, -6.003293098178666, -4.9499743695058385e-06]"
PAIR-028,Optical_A-T0041,Optical_B-T0027,0.05747146272982658,6.24,"[2190.049419776875, 23.012070247691565, -82.86069907036135]","[-49.63285815837585, -5.999000263988461, 4.196464252038262e-05]"
PAIR-029,Optical_A-T0043,Optical_B-T0043,0.18772334249921827,6.322691765212353,"[1186.6568790137262, -22.648088656517302, -92.86901332479646]","[-49.63966859994774, -5.995250147615028, 5.406593907686386e-06]"
PAIR-030,Optical_A-T0044,Optical_B-T0014,0.11202929818119657,4.68,"[1376.2776591599784, 115.0236991597682, -85.78403763615812]","[-49.63149839833427, 6.0010473494454715, 6.856890275641625e-05]"
PAIR-031,Optical_A-T0046,Optical_B-T0051,0.08053214217099586,7.302499154291532,"[1840.0337178098403, 397.87139986206694, -117.22217501793871]","[-49.64053232617972, -5.995412546805369, -1.2233508721593012e-06]"
PAIR-032,Optical_A-T0047,Optical_B-T0046,0.17593935865286384,6.497500008456344,"[1231.7063256116303, -323.7706151360304, -91.46899040643274]","[-49.632860853661015, 6.003764926292774, 3.3584920076323854e-05]"
PAIR-033,Optical_A-T0049,Optical_B-T0042,0.11285355617949601,6.795,"[1514.527946076906, -302.43632004369374, -105.06534918989055]","[-49.63418414823243, -6.0000505034820435, -1.7582864395959685e-05]"
PAIR-034,Optical_A-T0051,Optical_B-T0039,0.13190353063237148,7.335001893876429,"[1595.1768705414365, 418.3892643194221, -82.74828137635596]","[-49.65386423741535, 6.0094922057088525, -0.00014265550889458467]"
PAIR-035,Optical_A-T0052,Optical_B-T0023,0.06142927472074639,7.497500835666574,"[1965.2277238703148, 40.569321179577926, -109.90985087761096]","[-49.63573720873265, 5.999684522260878, -1.5233435432068787e-05]"
PAIR-036,Optical_A-T0053,Optical_B-T0028,0.0677797942775189,7.5025005865859775,"[2072.9075255370885, 62.626789048175915, -117.52874090445262]","[-49.6320522939496, -5.996763971700126, -4.9766529893635614e-05]"
PAIR-037,Optical_A-T0055,Optical_B-T0021,0.08387959430398285,7.755002880027154,"[1898.5728485517238, -68.78976854045743, -99.17438488360828]","[-49.62167893282458, 5.997125013826391, 1.1662017002880831e-05]"
