camera_id,frame_index,measurement_timestamp,sweep_index,yaw_deg,pitch_deg,detection_count,detection_rpc_latency_ms
Optical_A,0,0.0,0,-18.434948822922024,-0.0,0,1.037893001921475
Optical_B,0,0.0,0,-71.56505117707799,-0.0,0,1.0979210055666044
Optical_A,1,0.01,0,-16.634948822922013,-0.0,0,1.2244669924257323
Optical_B,1,0.01,0,-69.76505117707799,-0.0,0,1.3648150052176788
Optical_A,2,0.02,0,-14.834948822922001,-0.0,0,1.059973001247272
Optical_B,2,0.02,0,-67.96505117707798,-0.0,0,0.9042750025400892
Optical_A,3,0.03,0,-13.034948822922019,-0.0,0,1.8702139932429418
Optical_B,3,0.03,0,-66.165051177078,-0.0,0,0.8995009993668646
Optical_A,4,0.04,0,-11.234948822922007,-0.0,0,0.8993800001917407
Optical_B,4,0.04,0,-64.36505117707799,-0.0,0,0.8569140045437962
Optical_A,5,0.05,0,-9.434948822922024,-0.0,0,0.9663969976827502
Optical_B,5,0.05,0,-62.56505117707799,-0.0,0,1.0449429973959923
Optical_A,6,0.06,0,-7.634948822922013,-0.0,0,1.1444370029494166
Optical_B,6,0.06,0,-60.76505117707799,-0.0,0,0.9328180021839216
Optical_A,7,0.07,0,-5.8349488229220015,-0.0,0,1.5578760067000985
Optical_B,7,0.07,0,-58.96505117707798,-0.0,0,0.994838002952747
Optical_A,8,0.08,0,-4.0349488229220185,-0.0,0,1.205955006298609
Optical_B,8,0.08,0,-57.165051177078,-0.0,0,0.9647719998611137
Optical_A,9,0.09,0,-2.234948822922007,-0.0,0,0.964010992902331
Optical_B,9,0.09,0,-55.36505117707799,-0.0,0,0.97497200476937
Optical_A,10,0.1,0,-0.4349488229220242,-0.0,0,1.4600930007873103
Optical_B,10,0.1,0,-53.56505117707799,-0.0,0,1.1781899956986308
Optical_A,11,0.11,0,1.3650511770779872,-0.0,0,1.0810870007844642
Optical_B,11,0.11,0,-51.76505117707799,-0.0,0,0.8948879985837266
Optical_A,12,0.12,0,3.1650511770779985,-0.0,0,0.162855998496525
Optical_B,12,0.12,0,-49.96505117707801,-0.0,0,0.8267889934359118
Optical_A,13,0.13,0,4.9650511770779815,-0.0,0,1.3207940064603463
Optical_B,13,0.13,0,-48.165051177078,-0.0,0,1.2331969919614494
Optical_A,14,0.14,0,6.765051177077993,-0.0,0,1.1490910110296682
Optical_B,14,0.14,0,-46.36505117707799,-0.0,0,1.0123219981323928
Optical_A,15,0.15,0,8.565051177077976,-0.0,0,1.2089030060451478
Optical_B,15,0.15,0,-44.565051177077976,-0.0,0,0.8756290044402704
Optical_A,16,0.16,0,10.365051177077987,-0.0,0,1.4602659939555451
Optical_B,16,0.16,0,-42.76505117707799,-0.0,1,1.1709910031640902
Optical_A,17,0.17,0,12.165051177077999,-0.0,0,1.0266239987686276
Optical_B,17,0.17,0,-40.96505117707798,-0.0,3,1.1875299969688058
Optical_A,18,0.18,0,13.965051177077981,-0.0,1,1.8173909920733422
Optical_B,18,0.18,0,-39.165051177078,-0.0,2,1.2624960072571412
Optical_A,19,0.19,0,15.765051177077993,-0.0,4,1.3966359983896837
Optical_B,19,0.19,0,-37.36505117707799,-0.0,6,1.3477619941113517
Optical_A,20,0.2,0,17.565051177077976,-0.0,4,1.4043949922779575
