track_id,camera_id,sample_index,sweep_index,measurement_timestamp,ray_x_ned,ray_y_ned,ray_z_ned,azimuth_deg,elevation_deg,detection_uids
Optical_A-T0001,Optical_A,0,0,0.1850030871539015,0.9673914253809498,0.25322180305261116,-0.00570513437166759,14.668488220841482,0.326881894323654,"[""Optical_A-F00018-D000"", ""Optical_A-F00019-D001""]"
Optical_A-T0001,Optical_A,1,1,0.8200000000000001,0.9661214385144855,0.2580232449306208,-0.00577677402830932,14.953056085563736,0.33098661193920764,"[""Optical_A-F00082-D000""]"
Optical_A-T0001,Optical_A,2,2,1.18,0.965376289678741,0.26079641237110057,-0.00581812860553257,15.117585654805419,0.3333560944978289,"[""Optical_A-F00118-D000""]"
Optical_A-T0001,Optical_A,3,3,1.8140675404890683,0.9640402306874492,0.26569101273364876,-0.0058923143719504,15.408291047249904,0.3376066986781598,"[""Optical_A-F00181-D000"", ""Optical_A-F00182-D000""]"
Optical_A-T0001,Optical_A,4,4,2.19,0.9631831267228816,0.26878060792015485,-0.0059371038735566975,15.592000598789777,0.3401729929766449,"[""Optical_A-F00219-D000""]"
Optical_A-T0001,Optical_A,5,5,2.81,0.9617576698619744,0.2738357828142909,-0.006012363274952582,15.892941293541687,0.3444851160128941,"[""Optical_A-F00281-D000""]"
Optical_A-T0001,Optical_A,6,6,3.1924521239296233,0.9608149918996131,0.27712421695108314,-0.006059679875674169,16.0889471198449,0.34719620692319136,"[""Optical_A-F00319-D000"", ""Optical_A-F00320-D002""]"
Optical_A-T0001,Optical_A,7,7,3.80499884172597,0.9593345119758969,0.2822049490850059,-0.006136843154007068,16.392164518828718,0.35161741931669854,"[""Optical_A-F00380-D000"", ""Optical_A-F00381-D000""]"
Optical_A-T0001,Optical_A,8,8,4.195002657125579,0.9583365496873736,0.28557447290458804,-0.006186918341700188,16.593517418285654,0.35448657069973727,"[""Optical_A-F00419-D000"", ""Optical_A-F00420-D000""]"
Optical_A-T0001,Optical_A,9,9,4.805001027658742,0.9567180661730283,0.2909489127380243,-0.006266740357049614,16.91511672748665,0.3590601239596752,"[""Optical_A-F00480-D000"", ""Optical_A-F00481-D000""]"
