detection_uid,camera_id,frame_index,measurement_timestamp,arrival_timestamp,bbox_xyxy,center_px,confidence
Optical_B-F00016-D000,Optical_B,16,0.16,0.1611709910031641,"[1228.1832275390625, 611.49853515625, 1270.859130859375, 619.783203125]","[1249.5211791992188, 615.640869140625]",1.0
Optical_B-F00017-D000,Optical_B,17,0.17,0.17118752999696882,"[1182.51318359375, 468.25506591796875, 1220.8338623046875, 475.61407470703125]","[1201.6735229492188, 471.9345703125]",1.0
Optical_B-F00017-D001,Optical_B,17,0.17,0.17118752999696882,"[649.5107421875, 718.5054931640625, 691.7241821289062, 726.8875732421875]","[670.6174621582031, 722.696533203125]",1.0
Optical_B-F00017-D002,Optical_B,17,0.17,0.17118752999696882,"[438.4382629394531, 611.49169921875, 481.1004333496094, 619.7755126953125]","[459.76934814453125, 615.6336059570312]",1.0
Optical_A-F00018-D000,Optical_A,18,0.18,0.18181739099207334,"[930.306396484375, 365.63031005859375, 962.2591552734375, 372.8321533203125]","[946.2827758789062, 369.2312316894531]",1.0
Optical_B-F00018-D000,Optical_B,18,0.18,0.18126249600725713,"[393.2472229003906, 468.25634765625, 431.55914306640625, 475.614990234375]","[412.40318298339844, 471.9356689453125]",1.0
Optical_B-F00018-D001,Optical_B,18,0.18,0.18126249600725713,"[1225.722412109375, 491.3043212890625, 1263.7685546875, 498.6019287109375]","[1244.7454833984375, 494.953125]",1.0
Optical_A-F00019-D000,Optical_A,19,0.19,0.19139663599838969,"[1161.4281005859375, 457.6134033203125, 1203.6768798828125, 466.7686767578125]","[1182.552490234375, 462.1910400390625]",1.0
Optical_A-F00019-D001,Optical_A,19,0.19,0.19139663599838969,"[145.98594665527344, 365.58416748046875, 177.95326232910156, 372.7916259765625]","[161.9696044921875, 369.1878967285156]",1.0
Optical_A-F00019-D002,Optical_A,19,0.19,0.19139663599838969,"[1276.7457275390625, 377.821044921875, 1280.0, 385.18023681640625]","[1278.3728637695312, 381.5006408691406]",1.0
Optical_A-F00019-D003,Optical_A,19,0.19,0.19139663599838969,"[850.984619140625, 537.2576904296875, 881.7562866210938, 543.9468994140625]","[866.3704528808594, 540.602294921875]",1.0
Optical_B-F00019-D000,Optical_B,19,0.19,0.19134776199411135,"[435.60693359375, 491.306640625, 473.6421203613281, 498.60333251953125]","[454.62452697753906, 494.9549865722656]",1.0
Optical_B-F00019-D001,Optical_B,19,0.19,0.19134776199411135,"[795.7085571289062, 500.90399169921875, 835.8892211914062, 508.61151123046875]","[815.7988891601562, 504.75775146484375]",1.0
Optical_B-F00019-D002,Optical_B,19,0.19,0.19134776199411135,"[1252.869140625, 348.033447265625, 1280.0, 356.3551025390625]","[1266.4345703125, 352.19427490234375]",1.0
Optical_B-F00019-D003,Optical_B,19,0.19,0.19134776199411135,"[1236.7291259765625, 448.71539306640625, 1280.0, 457.1346435546875]","[1258.3645629882812, 452.9250183105469]",1.0
Optical_B-F00019-D004,Optical_B,19,0.19,0.19134776199411135,"[1239.8990478515625, 480.4522705078125, 1280.0, 488.6806640625]","[1259.9495239257812, 484.56646728515625]",1.0
Optical_B-F00019-D005,Optical_B,19,0.19,0.19134776199411135,"[640.6622924804688, 529.2650146484375, 686.38037109375, 538.0538330078125]","[663.5213317871094, 533.659423828125]",1.0
Optical_A-F00020-D000,Optical_A,20,0.2,0.20140439499227797,"[377.92205810546875, 457.609375, 420.1675109863281, 466.76666259765625]","[399.04478454589844, 462.1880187988281]",1.0
Optical_A-F00020-D001,Optical_A,20,0.2,0.20140439499227797,"[843.8823852539062, 487.0989990234375, 885.013916015625, 495.8812255859375]","[864.4481506347656, 491.4901123046875]",1.0
Optical_A-F00020-D002,Optical_A,20,0.2,0.20140439499227797,"[491.4036560058594, 377.8350830078125, 524.9404296875, 385.1962890625]","[508.1720428466797, 381.51568603515625]",1.0
Optical_A-F00020-D003,Optical_A,20,0.2,0.20140439499227797,"[66.6693115234375, 537.267333984375, 97.46105194091797, 543.959716796875]","[82.06518173217773, 540.613525390625]",1.0
Optical_B-F00020-D000,Optical_B,20,0.2,0.20236756399681327,"[6.526336669921875, 500.89874267578125, 46.73686981201172, 508.60986328125]","[26.631603240966797, 504.7543029785156]",1.0
Optical_B-F00020-D001,Optical_B,20,0.2,0.20236756399681327,"[1114.00537109375, 451.445556640625, 1152.7825927734375, 459.013427734375]","[1133.3939819335938, 455.2294921875]",1.0
