metric,count,mean,std,stderr,ci95_low,ci95_high,median,p05,p95
detection_probability,20,0.8639227166276348,0.03916703317699622,0.00875801486607531,0.8467570074901272,0.8810884257651423,0.8628415300546448,0.8021077283372365,0.9279625292740047
false_alarm_rate,20,0.044166666666666674,0.03795773272581241,0.008487607064668494,0.027530956819916425,0.060802376513416925,0.03333333333333333,0.0,0.1016666666666667
missed_detection_rate,20,0.13607728337236533,0.03916703317699621,0.008758014866075308,0.11891157423485772,0.15324299250987294,0.1371584699453552,0.07203747072599533,0.1978922716627635
track_rmse,20,2.3400507437170766,0.8099509078174905,0.18111052883175743,1.9850741072068319,2.6950273802273212,2.2810599143445556,1.2335569773793875,3.545870461815779
track_continuity,20,0.8639227166276348,0.03916703317699622,0.00875801486607531,0.8467570074901272,0.8810884257651423,0.8628415300546448,0.8021077283372365,0.9279625292740047
id_switch_count,20,5.4,4.096211343231823,0.9159407013672078,3.6047562253202727,7.195243774679728,4.5,0.9500000000000001,12.200000000000003
duplicate_assignment_count,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unassigned_high_threat_count,20,22.75,5.775401558151151,1.2914190481384178,20.2188186656487,25.2811813343513,26.0,13.0,26.0
failover_time,20,4.2105534602980015,2.100776690699821,0.469747948595185,3.289847481051439,5.131259439544564,3.9148876919671203,1.375532154093705,7.61258454977036
consensus_rounds,20,4.8,2.353049533108719,0.5261578710455237,3.7687305727507736,5.831269427249226,4.0,2.0,8.0
degraded_completion_rate,20,0.85,0.11969747440993464,0.026765168951565537,0.7975402688549316,0.9024597311450684,0.8333333333333334,0.6666666666666666,1.0
terminal_association_accuracy,20,0.8083333333333332,0.35571770790796775,0.07954089756826303,0.6524331740995377,0.9642334925671288,1.0,0.0,1.0
terminal_id_switch_count,20,0.45,0.6863327411532598,0.15346866644024562,0.1492014137771186,0.7507985862228814,0.0,0.0,2.0
ambiguous_fov_event_count,20,2.1,1.8035053587243284,0.40327605798927413,1.3095789263410227,2.8904210736589775,2.0,0.0,5.050000000000001
friend_overlap_hold_count,20,0.3,0.7326950970650465,0.16383560438182507,-0.021117784588377153,0.6211177845883771,0.0,0.0,2.0
time_to_terminal_lock,20,2.06765447662146,1.0277715613098275,0.2298167076429867,1.6172137296412061,2.5180952236017142,2.0928712179008944,0.0,3.381380595736489
constraint_violation_count,20,0.35,0.6708203932499369,0.15,0.055999999999999994,0.6439999999999999,0.0,0.0,2.0
human_override_count,20,0.25,0.5501196042201808,0.12301048307916045,0.008899453164845528,0.4911005468351545,0.0,0.0,1.0500000000000007
