episode_id,evidence_dir,scope,camera,status,measured_short_gap_count,measured_short_gap_count_availability,measured_short_gap_count_reason,measured_short_gap_total_duration_s,measured_short_gap_total_duration_s_availability,measured_short_gap_total_duration_s_reason,effective_short_gap_fragmentation_count,effective_short_gap_fragmentation_count_availability,effective_short_gap_fragmentation_count_reason,bounded_coast_event_count,bounded_coast_event_count_availability,bounded_coast_event_count_reason,bounded_coast_frame_count,bounded_coast_frame_count_availability,bounded_coast_frame_count_reason,bounded_coast_max_age_s,bounded_coast_max_age_s_availability,bounded_coast_max_age_s_reason,bounded_coast_same_id_recovery_count,bounded_coast_same_id_recovery_count_availability,bounded_coast_same_id_recovery_count_reason,coast_expiry_count,coast_expiry_count_availability,coast_expiry_count_reason,long_reacquisition_count,long_reacquisition_count_availability,long_reacquisition_count_reason,long_reacquisition_identity_change_count,long_reacquisition_identity_change_count_availability,long_reacquisition_identity_change_count_reason,binding_switch_proposed_count,binding_switch_proposed_count_availability,binding_switch_proposed_count_reason,binding_switch_pending_count,binding_switch_pending_count_availability,binding_switch_pending_count_reason,binding_switch_held_count,binding_switch_held_count_availability,binding_switch_held_count_reason,binding_switch_confirmed_count,binding_switch_confirmed_count_availability,binding_switch_confirmed_count_reason,binding_switch_expired_count,binding_switch_expired_count_availability,binding_switch_expired_count_reason,binding_oscillation_count,binding_oscillation_count_availability,binding_oscillation_count_reason,geometric_binding_switch_count,geometric_binding_switch_count_availability,geometric_binding_switch_count_reason,crossing_total_count,crossing_total_count_availability,crossing_total_count_reason,crossing_evaluable_count,crossing_evaluable_count_availability,crossing_evaluable_count_reason,crossing_unavailable_count,crossing_unavailable_count_availability,crossing_unavailable_count_reason,crossing_availability_ratio,crossing_availability_ratio_availability,crossing_availability_ratio_reason,crossing_unavailable_reasons,crossing_unavailable_reasons_availability,crossing_unavailable_reasons_reason,crossing_id_switch_count,crossing_id_switch_count_availability,crossing_id_switch_count_reason,crossing_track_purity,crossing_track_purity_availability,crossing_track_purity_reason,crossing_track_continuity,crossing_track_continuity_availability,crossing_track_continuity_reason,association_accuracy,association_accuracy_availability,association_accuracy_reason,association_evaluable_count,association_evaluable_count_availability,association_evaluable_count_reason,association_wrong_count,association_wrong_count_availability,association_wrong_count_reason,id_switch_count,id_switch_count_availability,id_switch_count_reason,duplicate_assignment_count,duplicate_assignment_count_availability,duplicate_assignment_count_reason,online_truth_use_count,online_truth_use_count_availability,online_truth_use_count_reason,global_track_id_rewrite_count,global_track_id_rewrite_count_availability,global_track_id_rewrite_count_reason
d5_long_range_20target_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/baselines/d5_long_range_20target_20260810,aggregate,,fail_closed,3,available,,0.3300000000000005,available,,3,available,,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,48,available,,48,available,,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,7,available,,31,available,,3,available,,28,available,,0.0967741935483871,available,,"{""insufficient_temporal_samples"": 1, ""missing_pair_observation:GT-0001"": 1, ""missing_pair_observation:GT-0001,GT-0002"": 1, ""missing_pair_observation:GT-0002,GT-0003"": 1, ""missing_pair_observation:GT-0003,GT-0004"": 2, ""missing_pair_observation:GT-0005,GT-0006"": 2, ""missing_pair_observation:GT-0005,GT-0008"": 1, ""missing_pair_observation:GT-0007,GT-0008"": 1, ""missing_pair_observation:GT-0007,GT-0010"": 2, ""missing_pair_observation:GT-0009,GT-0010"": 2, ""missing_pair_observation:GT-0011,GT-0012"": 2, ""missing_pair_observation:GT-0011,GT-0014"": 2, ""missing_pair_observation:GT-0013,GT-0014"": 1, ""missing_pair_observation:GT-0013,GT-0016"": 2, ""missing_pair_observation:GT-0015,GT-0016"": 2, ""missing_pair_observation:GT-0015,GT-0018"": 2, ""missing_pair_observation:GT-0017,GT-0018"": 2, ""missing_pair_observation:GT-0017,GT-0020"": 1}",available,,,unavailable,actual_crossing_id_switch_count_missing,,unavailable,actual_crossing_track_purity_missing,,unavailable,actual_crossing_track_continuity_missing,0.9979317476732161,available,,1934,available,,4,available,,0,available,,0,available,,0,available,,0,available,
d5_long_range_20target_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/baselines/d5_long_range_20target_20260810,camera,Center_CV,fail_closed,0,available,,0,available,,0,available,,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,long_reacquisition_count_missing,,unavailable,long_reacquisition_identity_change_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,per_camera_geometric_binding_switch_count_missing,,unavailable,actual_crossing_window_count_missing,,unavailable,actual_crossing_evaluable_count_missing,,unavailable,actual_crossing_unavailable_count_missing,,unavailable,actual_crossing_total_or_evaluable_count_unavailable,,unavailable,actual_crossing_window_results_missing,,unavailable,actual_crossing_id_switch_count_missing,,unavailable,actual_crossing_track_purity_missing,,unavailable,actual_crossing_track_continuity_missing,,unavailable,per_camera_association_correctness_missing,,unavailable,association_correctness_field_missing,,unavailable,association_correctness_field_missing,,unavailable,id_switch_count_missing,,unavailable,per_camera_duplicate_assignment_field_missing,0,available,,,unavailable,per_camera_global_track_id_rewrite_field_missing
d5_long_range_20target_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/baselines/d5_long_range_20target_20260810,camera,Interceptor_CV,fail_closed,3,available,,0.3300000000000005,available,,3,available,,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,long_reacquisition_count_missing,,unavailable,long_reacquisition_identity_change_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,file_missing,,unavailable,per_camera_geometric_binding_switch_count_missing,,unavailable,actual_crossing_window_count_missing,,unavailable,actual_crossing_evaluable_count_missing,,unavailable,actual_crossing_unavailable_count_missing,,unavailable,actual_crossing_total_or_evaluable_count_unavailable,,unavailable,actual_crossing_window_results_missing,,unavailable,actual_crossing_id_switch_count_missing,,unavailable,actual_crossing_track_purity_missing,,unavailable,actual_crossing_track_continuity_missing,,unavailable,per_camera_association_correctness_missing,,unavailable,association_correctness_field_missing,,unavailable,association_correctness_field_missing,,unavailable,id_switch_count_missing,,unavailable,per_camera_duplicate_assignment_field_missing,0,available,,,unavailable,per_camera_global_track_id_rewrite_field_missing
