case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,reference_implementation,candidate_implementation,reference_materialization_count,candidate_materialization_count,reference_per_track_copy_count,candidate_per_track_copy_count,candidate_shared_reuse_count,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d1_fusion_p50_ms,candidate__d1_fusion_p50_ms,raw_relative_change__d1_fusion_p50_ms,improvement_pct__d1_fusion_p50_ms,reference__d1_fusion_p95_ms,candidate__d1_fusion_p95_ms,raw_relative_change__d1_fusion_p95_ms,improvement_pct__d1_fusion_p95_ms,reference__d1_fusion_max_ms,candidate__d1_fusion_max_ms,raw_relative_change__d1_fusion_max_ms,improvement_pct__d1_fusion_max_ms,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__d3_assignment_wall_s,candidate__d3_assignment_wall_s,raw_relative_change__d3_assignment_wall_s,improvement_pct__d3_assignment_wall_s,reference__d5_active_vision_wall_s,candidate__d5_active_vision_wall_s,raw_relative_change__d5_active_vision_wall_s,improvement_pct__d5_active_vision_wall_s,reference__d7_guidance_wall_s,candidate__d7_guidance_wall_s,raw_relative_change__d7_guidance_wall_s,improvement_pct__d7_guidance_wall_s,reference__module_publication_bus_wall_s,candidate__module_publication_bus_wall_s,raw_relative_change__module_publication_bus_wall_s,improvement_pct__module_publication_bus_wall_s,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor
short_seed_1101,short,1101,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,12166,12166,516234,0,36498,3.9597724231425673,3.242135355481878,-0.1812318969308736,18.12318969308736,24.3656454840675,23.567127500427887,-0.032772289335070454,3.2772289335070455,184.7771858912892,179.1466077673249,-0.0304722582325557,3.04722582325557,281.07304900186136,187.6902490039356,-0.33223676311031636,33.22367631103164,1.1202465570531785,1.1266116102342494,0.005681832397516293,-0.5681832397516293,0.6243505940074101,1.0301336289267056,0.6499281634614404,-64.99281634614404,0.5987651890609413,0.6958726790035143,0.16217958511393948,-16.21795851139395,0.456738376931753,0.4635468259220943,0.014906671596283689,-1.490667159628369,0.534082250087522,0.5393919760826975,0.009941775811320105,-0.9941775811320105,0.8097783430712298,0.8045593207934871,-0.0064450010578802905,0.6445001057880291,10.362329286988825,10.284272118005902,-0.00753278214010564,0.7532782140105639,18.58,17.43,-0.06189451022604944,6.189451022604945,1002344.0,873184.0,-0.12885795694891175,12.885795694891176,0.2123074782773377,0.21391888261573688,0.007589955622261217,0.7589955622261217
short_seed_1102,short,1102,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,12219,12219,539214,0,36657,3.807381830876693,3.1532880839076824,-0.171796204327213,17.1796204327213,24.56682251067832,23.293947480851784,-0.05181276615131092,5.181276615131091,183.92072542628736,182.08974517183378,-0.009955268772509315,0.9955268772509315,299.49288902571425,187.01561697525904,-0.37555907392778864,37.55590739277886,1.1272830800735392,1.2084015511791222,0.07195927317590112,-7.195927317590112,0.7066987639991567,1.0029820719501004,0.41924978936470486,-41.92497893647049,0.6457757590105757,0.6918152390280738,0.07129329240855595,-7.129329240855594,0.46493124309927225,0.5192882770788856,0.11691413469498113,-11.691413469498112,0.5547738892491907,0.5508488269406371,-0.007075066769753047,0.7075066769753048,0.8088467899942771,0.795109102036804,-0.016984289394991973,1.6984289394991974,10.538873103039805,10.26291555899661,-0.026184729747205898,2.6184729747205897,17.87,17.44,-0.024062674874090636,2.4062674874090635,1053648.0,874212.0,-0.17029975855314108,17.02997585531411,0.20875097161625733,0.2143640359655352,0.02688880586192547,2.688880586192547
short_seed_1103,short,1103,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,11180,11180,535173,0,33540,3.8870008061639965,3.222144296159968,-0.17104614667167056,17.104614667167056,17.15814199997112,15.2728829998523,-0.10987547486913181,10.987547486913181,183.57904988806692,184.64391171000895,0.00580056287790631,-0.580056287790631,277.1403850056231,199.00074502220377,-0.28194966959374723,28.194966959374725,1.1495789317996241,1.1493031760910526,-0.00023987540215254108,0.023987540215254108,0.7087480530608445,1.0532769140554592,0.48610907572403245,-48.61090757240324,0.6651867190375924,0.6084073590463959,-0.08535852921619698,8.535852921619698,0.4691660169628449,0.4676638550008647,-0.0032017706050076647,0.32017706050076644,0.5470329831005074,0.5455546861630864,-0.002702390866894682,0.2702390866894682,0.7858259731438011,0.8367526970687322,0.06480661834221643,-6.480661834221643,10.522507188026793,10.261296163022052,-0.02482402913461195,2.482402913461195,17.72,17.39,-0.018623024830699678,1.8623024830699677,1070700.0,866616.0,-0.1906080134491454,19.06080134491454,0.2090756471521641,0.2143978660247614,0.02545594833779869,2.545594833779869
short_seed_1104,short,1104,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,11380,11380,497160,0,34140,3.604323599021882,3.251674844068475,-0.09784048109584453,9.784048109584454,26.00265498040244,24.036124523263425,-0.0756280640811925,7.5628064081192505,187.73333146818914,184.45488869037945,-0.017463296220070593,1.7463296220070594,286.43762198043987,269.1227999748662,-0.060448840085524966,6.044884008552496,1.128823614155408,1.123178238805849,-0.0050011137956064025,0.5001113795606402,0.6213213840383105,0.9904945640009828,0.5941742702676868,-59.41742702676868,0.6737888320349157,0.6214837480220012,-0.07762830359616885,7.762830359616885,0.47487793309846893,0.47310593497240916,-0.003731481297726116,0.3731481297726116,0.7123049990623258,0.5564424349577166,-0.21881436226024775,21.881436226024775,0.812972703773994,0.9009384540258907,0.10820258766812313,-10.820258766812312,10.410029702004977,10.135260790993925,-0.026394632760570393,2.639463276057039,17.48,17.28,-0.011441647597253964,1.1441647597253963,1003564.0,869392.0,-0.1336955092051927,13.369550920519268,0.21133465157897477,0.21706397549778833,0.027110196439662143,2.7110196439662144
short_seed_1105,short,1105,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,9185,9185,354250,0,27555,3.3744196519837715,2.7910266648977995,-0.1728869101218646,17.28869101218646,19.268412026576698,16.25495497137308,-0.15639363799399714,15.639363799399714,187.1514358848799,183.42399921966714,-0.01991668750810747,1.9916687508107471,282.73381397593766,190.34475699299946,-0.3267704548094876,32.677045480948756,1.1100564557127655,1.1146012372337282,0.004094189532049087,-0.4094189532049087,0.6141645370516926,0.9645897030131891,0.5705721265570275,-57.05721265570275,0.6684447609586641,0.6696572680375539,0.0018139226301225172,-0.18139226301225173,0.4597239100257866,0.45866620616288856,-0.0023007371159762466,0.23007371159762466,0.5338396769948304,0.5380607208935544,0.007906950495860007,-0.7906950495860007,0.7742470029043034,0.76827481581131,-0.007713542410356051,0.771354241035605,9.691098327981308,9.689481832028832,-0.00016680214128139367,0.016680214128139366,16.43,16.44,0.0006086427267195109,-0.06086427267195109,947476.0,857868.0,-0.09457548265074789,9.457548265074788,0.22701245261828526,0.22705032509869036,0.00016682996887743597,0.016682996887743596
short_seed_1106,short,1106,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,11243,11243,471397,0,33729,3.75148322887253,3.1026602713391185,-0.17295104841196604,17.295104841196604,25.236941990442574,23.717320000287145,-0.060214188816177544,6.0214188816177545,185.82296440145,181.02077641524374,-0.025842812279281403,2.58428122792814,308.6991920135915,189.20774903381243,-0.387080517445987,38.7080517445987,1.135256748762913,1.1287536906311288,-0.0057282708417021695,0.572827084170217,0.6258001770474948,0.9551253480021842,0.5262465288975069,-52.62465288975069,0.7145123080699705,0.6667203279794194,-0.06688755330142042,6.688755330142042,0.4588819430791773,0.4582883848925121,-0.0012934877818078854,0.12934877818078855,0.5291054810513742,0.5291986897937022,0.0001761628742585978,-0.01761628742585978,0.9491490150685422,0.867472291982267,-0.08605258161741539,8.605258161741538,10.343523040995933,10.191283716994803,-0.014718324056294774,1.4718324056294774,17.34,17.16,-0.010380622837370226,1.0380622837370226,1013788.0,865372.0,-0.14639747166074168,14.63974716607417,0.2126934885996224,0.21587074416653904,0.014938189165243131,1.4938189165243132
short_seed_1107,short,1107,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,9352,9352,312550,0,28056,3.2454623749363236,2.797222596651409,-0.13811276376103707,13.811276376103706,23.493912478443235,22.865385020850226,-0.026752779392096238,2.6752779392096238,184.12754002201837,180.5376367410645,-0.019496829646040936,1.9496829646040936,193.26031999662519,187.96873197425157,-0.027380623308840744,2.7380623308840746,1.1969205001369119,1.1952025692444295,-0.0014352923960161861,0.14352923960161862,0.5780734740546905,0.8388465151074342,0.4511070871729232,-45.11070871729232,0.6082781000295654,0.6066009210189804,-0.0027572569364299505,0.27572569364299504,0.5232906799647026,0.5218724209698848,-0.0027102699304971363,0.2710269930497136,0.5366572418715805,0.5365892127156258,-0.0001267646286062746,0.012676462860627461,0.8622260429547168,0.7823489398579113,-0.09264055957191793,9.264055957191793,9.65150293597253,9.530356299015693,-0.01255210072053195,1.255210072053195,16.46,16.26,-0.012150668286755728,1.2150668286755728,962076.0,860412.0,-0.10567148541279484,10.567148541279483,0.22794377358579934,0.23084131704784414,0.012711658741378789,1.2711658741378788
short_seed_1108,short,1108,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,12230,12230,542437,0,36690,3.8009899830794893,3.173854693712201,-0.16499261828077624,16.499261828077625,25.525343022309244,23.669948044698685,-0.07268834647937684,7.268834647937685,188.64209939492866,181.86482141027224,-0.035926646312751005,3.5926646312751007,250.19490899285302,189.6143690100871,-0.24213338403499024,24.213338403499023,1.133506009937264,1.206437007873319,0.06434107741527684,-6.434107741527684,0.6203197379945777,1.0025730149354786,0.6162197549552133,-61.62197549552133,0.8190712509094737,0.7622584260534495,-0.06936249415779258,6.936249415779258,0.47045749402604997,0.5411843220936134,0.15033627684894996,-15.033627684894995,0.5518357009859756,0.5598742299480364,0.014566888201865543,-1.4566888201865544,0.8286948159220628,0.8297658689552918,0.0012924577451799747,-0.12924577451799746,10.589441993972287,10.398570721037686,-0.018024677130603132,1.8024677130603133,17.91,17.61,-0.016750418760469052,1.6750418760469052,1008300.0,873480.0,-0.13371020529604286,13.371020529604285,0.20775410085368826,0.21156753740676196,0.01835552962566708,1.835552962566708
short_seed_1109,short,1109,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,9994,9994,412735,0,29982,3.633686184301041,2.9438251418760046,-0.18985157425137825,18.985157425137825,20.983784983400255,15.440674033015966,-0.2641616350324455,26.41616350324455,189.56428511301058,182.6587859832216,-0.036428270893286666,3.6428270893286667,290.17193702748045,188.51386901224032,-0.35033735190461474,35.03373519046147,1.1209069768665358,1.2015638200682588,0.07195676792662752,-7.195676792662751,0.7148006010684185,0.9968915570061654,0.39464286336091936,-39.46428633609194,0.616154755000025,0.6792803409625776,0.10245086230414632,-10.245086230414632,0.467383228125982,0.462734314147383,-0.00994668550097375,0.9946685500973751,0.549086332146544,0.5467913962202147,-0.004179553909779084,0.41795539097790835,0.7750051318434998,0.8738651666790247,0.12756049060006494,-12.756049060006495,10.094039154006168,9.91652755701216,-0.017585784469991605,1.7585784469991605,17.02,16.89,-0.0076380728554641016,0.7638072855464102,999404.0,863608.0,-0.13587698268167828,13.587698268167827,0.21795041275690458,0.2218518516034718,0.017900580215550046,1.7900580215550046
short_seed_1110,short,1110,2.2,True,True,True,True,per_track_copy_v1,immutable_shared_v1,12271,12271,552135,0,36813,3.817400281666778,3.194781576283276,-0.1631001884642944,16.31001884642944,25.796798028750345,24.180279986467212,-0.06266351507972172,6.266351507972172,188.74027892306913,183.03088834218215,-0.03024998486525567,3.024998486525567,287.06455300562084,188.27288097236305,-0.34414444764736735,34.414444764736736,1.1227072278852575,1.119172898645047,-0.0031480417622924296,0.31480417622924295,0.629663298081141,1.0524574089213274,0.6714606236835222,-67.14606236835222,0.6095823220093735,0.6960640520555899,0.14187046921102575,-14.187046921102574,0.46553044411120936,0.5396251279162243,0.15916184374681766,-15.916184374681766,0.5507313981070183,0.6267940397956409,0.13811204872296387,-13.811204872296386,0.8001638051937334,0.8048688222188503,0.0058800672994421006,-0.5880067299442101,10.523705174040515,10.366753997979686,-0.01491406053905716,1.491406053905716,17.78,17.48,-0.01687289088863896,1.6872890888638958,1049656.0,873532.0,-0.16779211474997524,16.779211474997524,0.20905184662782825,0.21221686175139728,0.015139857287190887,1.5139857287190888
