case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,association_sparse_prefilter_audit_passed,exact_gate_pass_counts_equal,reference_non_radar_exact_solve_count,candidate_non_radar_exact_solve_count,candidate_non_radar_exact_solve_reduction_pct,candidate__radar__candidate_pair_count,candidate__radar__conservative_prefilter_rejection_count,candidate__radar__exact_innovation_solve_count,candidate__radar__exact_gate_pass_count,candidate__radar__fallback_count,reference__radar__exact_gate_pass_count,candidate__lidar__candidate_pair_count,candidate__lidar__conservative_prefilter_rejection_count,candidate__lidar__exact_innovation_solve_count,candidate__lidar__exact_gate_pass_count,candidate__lidar__fallback_count,reference__lidar__exact_gate_pass_count,candidate__acoustic__candidate_pair_count,candidate__acoustic__conservative_prefilter_rejection_count,candidate__acoustic__exact_innovation_solve_count,candidate__acoustic__exact_gate_pass_count,candidate__acoustic__fallback_count,reference__acoustic__exact_gate_pass_count,candidate__acoustic_3d__candidate_pair_count,candidate__acoustic_3d__conservative_prefilter_rejection_count,candidate__acoustic_3d__exact_innovation_solve_count,candidate__acoustic_3d__exact_gate_pass_count,candidate__acoustic_3d__fallback_count,reference__acoustic_3d__exact_gate_pass_count,candidate__eo__candidate_pair_count,candidate__eo__conservative_prefilter_rejection_count,candidate__eo__exact_innovation_solve_count,candidate__eo__exact_gate_pass_count,candidate__eo__fallback_count,reference__eo__exact_gate_pass_count,candidate__other__candidate_pair_count,candidate__other__conservative_prefilter_rejection_count,candidate__other__exact_innovation_solve_count,candidate__other__exact_gate_pass_count,candidate__other__fallback_count,reference__other__exact_gate_pass_count,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d1_fusion_p50_ms,candidate__d1_fusion_p50_ms,raw_relative_change__d1_fusion_p50_ms,improvement_pct__d1_fusion_p50_ms,reference__d1_fusion_p95_ms,candidate__d1_fusion_p95_ms,raw_relative_change__d1_fusion_p95_ms,improvement_pct__d1_fusion_p95_ms,reference__d1_fusion_max_ms,candidate__d1_fusion_max_ms,raw_relative_change__d1_fusion_max_ms,improvement_pct__d1_fusion_max_ms,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib
short_seed_1131,short,1131,2.2,True,True,True,True,True,True,7801,805,89.68081015254454,351386,349477,1909,1858,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19397,6996,805,69,791,69,0,0,0,0,0,0,2.607355177984573,2.6184028610005043,0.004237122394836521,-0.42371223948365216,15.224368020426482,15.897663019131869,0.04422482416360597,-4.422482416360597,137.50472251558676,139.5393990096636,0.014797139013507035,-1.4797139013507035,145.86008695187047,145.107117947191,-0.005162268996369986,0.5162268996369986,8.636961086012889,8.648190509993583,0.001300159149597158,-0.1300159149597158,16.12,16.06,-0.0037220843672457985,0.37220843672457987,0.2547192210420846,0.2543884755380617,-0.00129847093073614,-0.129847093073614,0.7184215520974249,0.7264367462485097,0.011156672746919392,-1.1156672746919392,0.4729530730401166,0.47956434200750664,0.013978699672872795,-1.3978699672872794,883076.0,883764.0,0.0007790948910399558,-0.07790948910399559
short_seed_1132,short,1132,2.2,True,True,True,True,True,True,5606,570,89.83232251159473,352815,350834,1981,1914,0,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13970,5036,570,72,549,72,0,0,0,0,0,0,2.2252715519280173,2.2243195503833704,-0.0004278136498990816,0.04278136498990816,16.836769500514492,16.976548999082297,0.0083020379036212,-0.83020379036212,144.00621900567785,142.86480646114796,-0.007926133693468347,0.7926133693468347,146.63099101744592,146.6296689468436,-9.016310898221287e-06,0.0009016310898221288,8.210229266027454,8.179665461007971,-0.003722649396156432,0.3722649396156432,15.29,15.21,-0.005232177894048286,0.5232177894048287,0.2679584124530151,0.2689596549501056,0.003736559296364898,0.3736559296364898,0.8745019228663296,0.8766665568109602,0.002475276369359675,-0.2475276369359675,0.4803509621415287,0.48181814391864464,0.00305439541658215,-0.305439541658215,870088.0,869940.0,-0.0001700977372403711,0.01700977372403711
short_seed_1133,short,1133,2.2,True,True,True,True,True,True,7375,766,89.6135593220339,352228,350312,1916,1850,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18568,6609,766,85,744,85,0,0,0,0,0,0,2.3839684751583263,2.3838577322894707,-4.645315993460896e-05,0.004645315993460897,10.222471493761986,10.294879000866786,0.007083170361392943,-0.7083170361392943,142.2568074951414,142.41091773437802,0.001083324179349934,-0.1083324179349934,147.8057469939813,147.18317100778222,-0.004212122998332618,0.42121229983326186,8.50148990296293,8.516924442024902,0.0018155098974583007,-0.18155098974583006,15.51,15.63,0.007736943907156737,-0.7736943907156737,0.25877817007501924,0.2583092071528287,-0.0018122197944850293,-0.18122197944850293,0.7247337828739546,0.7202916360110976,-0.006129349794129329,0.612934979412933,0.4640526410075836,0.4677112130448222,0.007883959089845669,-0.7883959089845669,870804.0,870408.0,-0.00045475216007276033,0.04547521600727603
short_seed_1134,short,1134,2.2,True,True,True,True,True,True,6546,673,89.71891231286281,354585,352587,1998,1872,0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16651,5873,673,87,657,87,0,0,0,0,0,0,2.3530873999698088,2.3493693380150944,-0.001580078136818064,0.15800781368180639,15.847100992687047,16.01760502671823,0.010759320213196403,-1.0759320213196402,144.21945520443842,142.04344801837578,-0.015088166731583011,1.508816673158301,148.29633198678493,151.550873008091,0.021946200406332963,-2.1946200406332963,8.49302426702343,8.494069178006612,0.00012303167285647028,-0.012303167285647029,15.64,15.66,0.0012787723785165968,-0.1278772378516597,0.2590361137365547,0.25900424801064503,-0.00012301653792603462,-0.012301653792603463,0.7241615981329232,0.7173178029479459,-0.009450646378684585,0.9450646378684585,0.4846916840178892,0.4863865200895816,0.003496730246417542,-0.3496730246417542,872908.0,872672.0,-0.0002703606794759585,0.02703606794759585
short_seed_1135,short,1135,2.2,True,True,True,True,True,True,7224,736,89.81173864894795,354977,353007,1970,1858,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18292,6488,736,68,716,68,0,0,0,0,0,0,2.514406905218493,2.4925347408279777,-0.008698737004389081,0.8698737004389081,16.296118003083393,16.079225984867662,-0.01330942855069487,1.330942855069487,139.19086899259128,140.8193686540471,0.011699759281929005,-1.1699759281929005,150.27677902253345,149.95751302922145,-0.002124519805312892,0.2124519805312892,8.725834892014973,8.713885570003185,-0.0013694187616043812,0.13694187616043813,16.36,16.25,-0.006723716381418058,0.6723716381418058,0.25212487139920836,0.2524706093884586,0.00137129664095224,0.137129664095224,0.7226895387866534,0.721457279578317,-0.0017051017652827132,0.17051017652827133,0.4840055761160329,0.48467091511702165,0.0013746515201908476,-0.13746515201908477,884480.0,884756.0,0.0003120477568740955,-0.03120477568740955
short_seed_1136,short,1136,2.2,True,True,True,True,True,True,7321,769,89.4959704958339,356188,354278,1910,1847,0,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18707,6552,769,87,753,87,0,0,0,0,0,0,2.729397085204255,2.694448646856472,-0.012804453605242848,1.2804453605242847,17.646635009441525,17.23907151608728,-0.02309581929564397,2.309581929564397,143.8689993461594,142.62847937061449,-0.008622566231660031,0.8622566231660032,153.5172009607777,149.29220400517806,-0.02752132613907601,2.7521326139076008,8.905134307977278,8.808639069029596,-0.010835910566923287,1.0835910566923286,16.67,16.56,-0.006598680263947389,0.659868026394739,0.2470484917930127,0.24975481260607074,0.010954613782161907,1.0954613782161906,0.8205488470266573,0.8019665433093905,-0.022646188322123232,2.264618832212323,0.48812628100859,0.48915787402074784,0.0021133732238844023,-0.21133732238844022,892504.0,892908.0,0.0004526590357018008,-0.04526590357018008
short_seed_1137,short,1137,2.2,True,True,True,True,True,True,7224,787,89.10575858250277,356139,354253,1886,1823,0,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18128,6437,787,84,770,84,0,0,0,0,0,0,2.6407633353956044,2.5706648256164044,-0.026544790606424683,2.654479060642468,17.318031983450055,16.937782493187115,-0.021956853447685352,2.195685344768535,145.90967326948885,143.17665287235283,-0.01873090615512685,1.8730906155126852,153.68694200878963,148.45015801256523,-0.034074358743665434,3.407435874366543,8.788623220985755,8.690594087995123,-0.011154094392914139,1.1154094392914138,16.25,16.09,-0.009846153846153855,0.9846153846153856,0.25032362233333316,0.2531472506625297,0.011279911591549906,1.1279911591549907,0.7407554122619331,0.728823063254822,-0.016108352108660302,1.6108352108660302,0.5687553680618294,0.5588787860469893,-0.017365255027828437,1.7365255027828437,880112.0,880416.0,0.0003454105841074772,-0.03454105841074772
short_seed_1138,short,1138,2.2,True,True,True,True,True,True,6241,631,89.88944079474443,355001,353106,1895,1824,0,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15867,5610,631,78,619,78,0,0,0,0,0,0,2.350255320139695,2.39117397100199,0.017410300281700052,-1.7410300281700053,16.075124498456717,16.260647505987436,0.011540999732134584,-1.1540999732134583,143.21903371892404,143.1235259049572,-0.0006668653703827724,0.06668653703827725,151.43143601017073,164.50524103129283,0.08633481505282702,-8.6334815052827,8.483251756988466,8.613962650997564,0.01540811209586222,-1.540811209586222,15.62,15.74,0.007682458386683803,-0.7682458386683803,0.2593345173550519,0.2553992963674184,-0.015174304707945322,-1.517430470794532,0.7137386999092996,0.7182829993544146,0.006366895119589998,-0.6366895119589998,0.47625206102384254,0.4907567729242146,0.03045595617831019,-3.045595617831019,873740.0,873480.0,-0.00029757135990111477,0.029757135990111476
short_seed_1139,short,1139,2.2,True,True,True,True,True,True,7483,743,90.0708272083389,355382,353444,1938,1852,0,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19050,6740,743,70,733,70,0,0,0,0,0,0,2.5577045090612955,2.573799026780762,0.0062925633756547965,-0.6292563375654796,10.541459487285465,10.83869198919274,0.02819652271735046,-2.8196522717350456,142.12598169397097,142.3343747970648,0.001466256208822938,-0.1466256208822938,149.3139960221015,147.31860003666952,-0.013363757173417354,1.3363757173417354,8.720780883042607,8.70372683700407,-0.0019555641022582604,0.19555641022582604,15.99,16.13,0.00875547217010624,-0.875547217010624,0.2522709869110298,0.25276528562990463,0.0019593958263983027,0.19593958263983027,0.7322643960360438,0.7284935409552418,-0.005149581355060697,0.5149581355060697,0.4808745561167598,0.4839147109305486,0.006322136979629797,-0.6322136979629798,878368.0,878100.0,-0.0003051112973150206,0.030511129731502058
short_seed_1140,short,1140,2.2,True,True,True,True,True,True,7245,726,89.97929606625259,351593,349676,1917,1825,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18167,6519,726,87,714,87,0,0,0,0,0,0,2.3769373594550416,2.3753179271006957,-0.0006813104888541125,0.06813104888541126,15.340475016273558,15.278833045158535,-0.004018256999840719,0.4018256999840719,141.88661340158433,140.27240178547797,-0.011376771757442871,1.1376771757442872,147.34707900788635,148.8013970083557,0.009870015817493867,-0.9870015817493867,8.526374181034043,8.537298030976672,0.0012811835031738537,-0.12811835031738536,15.66,15.65,-0.0006385696040868318,0.06385696040868319,0.25802292431566654,0.2576927725865415,-0.001279544172288853,-0.1279544172288853,0.791369300102815,0.788178326911293,-0.004032217564046886,0.4032217564046886,0.6218521730042994,0.6247334529762156,0.004633384101556091,-0.46333841015560906,873044.0,872376.0,-0.0007651389849767023,0.07651389849767022
