document,table_index,section,table_line,row,column,reported,source,selector,source_row,source_fields,source_values,expected,status
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,4,处理耗时P95,0.145秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:26,25,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.14496855099932873""}",0.145秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,4,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:26,25,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,5,关联准确度,95.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:41,40,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.949871794871795""}",95.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,5,关联覆盖度,94.8%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:41,40,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.9475000000000001""}",94.8%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,5,处理耗时P95,2.875秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:41,40,"[""runtime_s_p95""]","{""runtime_s_p95"": ""2.8748379069416843""}",2.875秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,5,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:41,40,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,6,关联准确度,97.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:42,41,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.975""}",97.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,6,关联覆盖度,7.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:42,41,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.075""}",7.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,6,处理耗时P95,0.496秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:42,41,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.49632733809776247""}",0.496秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,6,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:42,41,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
