schema_version,stage,call_count,wall_time_s,mean_wall_time_ms,p50_wall_time_ms,p95_wall_time_ms,max_wall_time_ms,distribution_available,distribution_unavailable_reason
scalable3d-stage-timings-v2,acoustic_scene,5,0.00048193312250077724,0.09638662450015545,0.09651703294366598,0.1052996376529336,0.10689004557207227,True,
scalable3d-stage-timings-v2,episode_bus,45,0.10248368215980008,2.2774151591066687,0.4585970309562981,5.175527615938335,5.207076028455049,True,
scalable3d-stage-timings-v2,module.d1_fusion,89,4.1989790192455985,47.17953954208538,28.322543017566204,186.03068242082372,289.80653401231393,True,
scalable3d-stage-timings-v2,module.d1_scan_input,89,1.207943285931833,13.572396471144192,0.9801959968172014,109.62236757623032,143.37415795307606,True,
scalable3d-stage-timings-v2,module.d1_scan_input_clock,44,0.0008384651155211031,0.019056025352752345,0.013748009223490953,0.040790284401737154,0.044011976569890976,True,
scalable3d-stage-timings-v2,module.d1_scan_input_finalize,1,0.00016342801973223686,0.16342801973223686,0.16342801973223686,0.16342801973223686,0.16342801973223686,True,
scalable3d-stage-timings-v2,module.d2_association,8,0.616626946022734,77.07836825284176,81.81407299707644,90.34163280739449,90.73338500456885,True,
scalable3d-stage-timings-v2,module.d2_association_finalize,1,0.11091813899111003,110.91813899111003,110.91813899111003,110.91813899111003,110.91813899111003,True,
scalable3d-stage-timings-v2,module.d3_assignment,3,0.6629890939802863,220.99636466009542,235.26923899771646,245.46431211056188,246.59709801198915,True,
scalable3d-stage-timings-v2,module.d4_region_resource_advisor,3,0.00733977893833071,2.44659297944357,2.443516976200044,2.508580661378801,2.515809959731996,True,
scalable3d-stage-timings-v2,module.d4_regional_failover,3,0.0012259859358891845,0.40866197862972814,0.402306963223964,0.43724498827941716,0.4411269910633564,True,
scalable3d-stage-timings-v2,module.d5_active_vision,15,0.46356769802514464,30.90451320167631,30.68214701488614,31.65598408668302,31.773847993463278,True,
scalable3d-stage-timings-v2,module.d5_terminal_association,21,0.07856602279935032,3.741239180921444,3.581996017601341,5.797822959721088,6.5360619919374585,True,
scalable3d-stage-timings-v2,module.d7_guidance,29,0.5421723161707632,18.695597109336664,18.53929099161178,19.67630301369354,20.133850979618728,True,
scalable3d-stage-timings-v2,module.main_d3_adapter,3,0.021932203031610698,7.310734343870233,7.116903958376497,7.648918335326016,7.7080310438759625,True,
scalable3d-stage-timings-v2,module.main_d4_adapter,3,0.1639276019996032,54.64253399986774,53.26895898906514,57.06223400775343,57.48370900982991,True,
scalable3d-stage-timings-v2,module_publication_bus,44,0.8635106019792147,19.62524095407306,1.3615059724543244,178.85341648070624,209.24593700328842,True,
scalable3d-stage-timings-v2,module_publication_bus_finalize,1,0.07723743101814762,77.23743101814762,77.23743101814762,77.23743101814762,77.23743101814762,True,
scalable3d-stage-timings-v2,module_stack,44,7.651287568034604,173.89289927351373,132.1694205107633,572.6841985335342,728.1102419947274,True,
scalable3d-stage-timings-v2,module_stack_finalize,1,1.7058243519859388,1705.8243519859388,1705.8243519859388,1705.8243519859388,1705.8243519859388,True,
scalable3d-stage-timings-v2,radar_scene,12,0.15788674913346767,13.157229094455639,13.05180203053169,13.726727661560288,13.933162961620837,True,
scalable3d-stage-timings-v2,visual_scene,23,0.9552824839483947,41.53402104123455,41.54013399966061,42.58240168564953,43.08274999493733,True,
scalable3d-stage-timings-v2,world_dynamics,44,0.10639269591774791,2.4180158163124528,2.431737520964816,2.5592497404431924,2.6539330137893558,True,
