detection_uid,camera_id,frame_index,measurement_timestamp,truth_id,raw_detection_name,truth_assignment_pixel_error,relative_pose,box3d,offline_truth_only
Optical_B-F00271-D007,Optical_B,271,2.71,TRUTH-040,MSM_DualOptical_Target_040,1.1371740510597816,"{""orientation_xyzw"": [-0.0, 0.0, 0.9738627672195435, 0.22713714838027954], ""position"": [1670.527099609375, -981.081787109375, 107.61656188964844]}","{""max"": [1671.2884521484375, -979.49560546875, 107.35846710205078], ""min"": [1669.76611328125, -982.6680908203125, 108.02582550048828]}",True
Optical_A-F00272-D000,Optical_A,272,2.72,TRUTH-015,MSM_DualOptical_Target_015,1.1617534985454283,"{""orientation_xyzw"": [0.0, -0.0, -0.9430566430091858, 0.3326321244239807], ""position"": [1635.7564697265625, 990.7951049804688, 101.57621765136719]}","{""max"": [1637.470703125, 991.1919555664062, 101.31812286376953], ""min"": [1634.04248046875, 990.3982543945312, 101.98548889160156]}",True
Optical_A-F00272-D001,Optical_A,272,2.72,TRUTH-026,MSM_DualOptical_Target_026,0.9109173245062279,"{""orientation_xyzw"": [0.0, -0.0, -0.9761580228805542, 0.2170611023902893], ""position"": [2084.863037109375, 1047.49072265625, 111.35553741455078]}","{""max"": [2086.5771484375, 1047.8875732421875, 111.09744262695312], ""min"": [2083.14892578125, 1047.09375, 111.76480102539062]}",True
Optical_A-F00272-D002,Optical_A,272,2.72,TRUTH-027,MSM_DualOptical_Target_027,2.7802450472582216,"{""orientation_xyzw"": [0.0, -0.0, -0.9430566430091858, 0.3326321244239807], ""position"": [2274.500732421875, 943.0484008789062, 95.71681213378906]}","{""max"": [2276.21484375, 943.4453125, 95.4587173461914], ""min"": [2272.78662109375, 942.6516723632812, 96.12608337402344]}",True
Optical_A-F00272-D003,Optical_A,272,2.72,TRUTH-031,MSM_DualOptical_Target_031,0.787184552091343,"{""orientation_xyzw"": [0.0, -0.0, -0.9430566430091858, 0.3326321244239807], ""position"": [2396.245849609375, 985.5692138671875, 92.12174224853516]}","{""max"": [2397.959716796875, 985.9661254882812, 91.8636474609375], ""min"": [2394.53173828125, 985.1724853515625, 92.53101348876953]}",True
Optical_A-F00272-D004,Optical_A,272,2.72,TRUTH-033,MSM_DualOptical_Target_033,0.8151285367082631,"{""orientation_xyzw"": [0.0, -0.0, -0.9430566430091858, 0.3326321244239807], ""position"": [2313.361083984375, 1057.109130859375, 86.49331665039062]}","{""max"": [2315.074951171875, 1057.505859375, 86.23522186279297], ""min"": [2311.64697265625, 1056.7122802734375, 86.902587890625]}",True
Optical_B-F00272-D000,Optical_B,272,2.72,TRUTH-022,MSM_DualOptical_Target_022,0.7438779896094257,"{""orientation_xyzw"": [-0.0, 0.0, 0.9701749086380005, 0.24240577220916748], ""position"": [2550.38720703125, -1037.5616455078125, 117.06352996826172]}","{""max"": [2551.09814453125, -1035.9521484375, 116.80543518066406], ""min"": [2549.67626953125, -1039.1708984375, 117.4728012084961]}",True
Optical_B-F00272-D001,Optical_B,272,2.72,TRUTH-024,MSM_DualOptical_Target_024,0.7598182997363323,"{""orientation_xyzw"": [-0.0, 0.0, 0.9701749086380005, 0.24240577220916748], ""position"": [2482.534912109375, -1013.2490234375, 82.39603424072266]}","{""max"": [2483.24560546875, -1011.6396484375, 82.137939453125], ""min"": [2481.82373046875, -1014.8583984375, 82.8052978515625]}",True
Optical_B-F00272-D002,Optical_B,272,2.72,TRUTH-031,MSM_DualOptical_Target_031,0.8683527615850168,"{""orientation_xyzw"": [-0.0, 0.0, 0.9922530055046082, 0.12423300743103027], ""position"": [2171.40234375, -956.7495727539062, 92.12174224853516]}","{""max"": [2172.11328125, -955.14013671875, 91.8636474609375], ""min"": [2170.69140625, -958.35888671875, 92.53101348876953]}",True
Optical_B-F00272-D003,Optical_B,272,2.72,TRUTH-033,MSM_DualOptical_Target_033,0.9130462364860833,"{""orientation_xyzw"": [-0.0, 0.0, 0.9922530055046082, 0.12423300743103027], ""position"": [2064.439453125, -980.1334838867188, 86.49331665039062]}","{""max"": [2065.150634765625, -978.524169921875, 86.23522186279297], ""min"": [2063.728515625, -981.742919921875, 86.902587890625]}",True
Optical_A-F00273-D000,Optical_A,273,2.73,TRUTH-015,MSM_DualOptical_Target_015,18.288392980929288,"{""orientation_xyzw"": [0.0, -0.0, -0.9481651186943054, 0.3177778124809265], ""position"": [1634.839599609375, 1042.482177734375, 101.57621765136719]}","{""max"": [1636.540283203125, 1042.9326171875, 101.31812286376953], ""min"": [1633.138916015625, 1042.03173828125, 101.98548889160156]}",True
Optical_A-F00273-D001,Optical_A,273,2.73,TRUTH-027,MSM_DualOptical_Target_027,0.8286607213982347,"{""orientation_xyzw"": [0.0, -0.0, -0.9481651186943054, 0.3177778124809265], ""position"": [2274.768310546875, 1014.8226928710938, 95.71681213378906]}","{""max"": [2276.46923828125, 1015.2732543945312, 95.4587173461914], ""min"": [2273.06787109375, 1014.3722534179688, 96.12608337402344]}",True
Optical_A-F00273-D002,Optical_A,273,2.73,TRUTH-028,MSM_DualOptical_Target_028,0.824034054626179,"{""orientation_xyzw"": [0.0, -0.0, -0.979447066783905, 0.20170128345489502], ""position"": [2303.279541015625, 1010.6437377929688, 108.63809204101562]}","{""max"": [2304.98046875, 1011.0942993164062, 108.37999725341797], ""min"": [2301.578857421875, 1010.1932373046875, 109.04736328125]}",True
