frame_index,simulation_timestamp,truth_id,actor_name,px_ned_m,py_ned_m,pz_ned_m,vx_ned_mps,vy_ned_mps,vz_ned_mps,offline_truth_only
0,0.0,TRUTH-001,MSM_DualOptical_Target_001,1770.194203860247,-462.5823215647317,-103.73930684521301,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-002,MSM_DualOptical_Target_002,1824.6901473957719,-406.38235229089867,-101.63984418840667,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-003,MSM_DualOptical_Target_003,2310.325720940894,-398.7671846260119,-113.6462205941038,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-004,MSM_DualOptical_Target_004,1581.215659588281,-361.12003061412935,-82.55792752881241,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-005,MSM_DualOptical_Target_005,1554.2187398337735,-362.73973145575746,-91.5450313160947,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-006,MSM_DualOptical_Target_006,2229.3220942522908,-309.0971280590421,-112.19347097996283,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-007,MSM_DualOptical_Target_007,1743.4170330518743,-306.01382251226255,-100.70333926524904,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-008,MSM_DualOptical_Target_008,1851.8326622173336,-261.6580005547337,-105.14063476179437,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-009,MSM_DualOptical_Target_009,2418.6458345898545,-297.3955355927748,-97.20719814092952,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-010,MSM_DualOptical_Target_010,1689.5995248697998,-215.72910756608331,-113.31887445835903,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-011,MSM_DualOptical_Target_011,2256.6453298387055,-215.83210862414938,-108.83025866716463,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-012,MSM_DualOptical_Target_012,1635.552755511071,-178.115741258762,-104.81572133912636,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-013,MSM_DualOptical_Target_013,1662.5253791728169,-199.67239075252144,-102.31300866487416,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-014,MSM_DualOptical_Target_014,2391.4988442699005,-130.8219299240294,-99.94831345393803,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-015,MSM_DualOptical_Target_015,1527.61852475739,-158.15547304456538,-98.42377475353562,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-016,MSM_DualOptical_Target_016,2148.2434522342637,-65.90835128644757,-115.37217788489644,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-017,MSM_DualOptical_Target_017,2283.5463621267218,-115.32706607049425,-99.25022629765463,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-018,MSM_DualOptical_Target_018,1905.4615348759514,-19.538871823116715,-110.05587594395337,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-019,MSM_DualOptical_Target_019,2364.669611137606,-42.749925395159366,-107.92085094294785,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-020,MSM_DualOptical_Target_020,1500.5101407807838,15.289212046628254,-92.94497933355338,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-021,MSM_DualOptical_Target_021,2337.411716466788,-4.409880601377065,-109.98524176104807,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-022,MSM_DualOptical_Target_022,2499.8046818383887,60.46047834284195,-82.93646522319438,-49.63869458396343,-6.0,0.0,True
