case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,consistency_evidence_records_digest_equal,existing_operation_counts_equal,replay_prefix_summary_audit_passed,candidate_logical_refresh_record_count,candidate_actual_materialized_record_count,candidate_lazy_materialization_reduction_pct,candidate_online_snapshot_projected_record_count,candidate_disclosed_record_construction_count,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d1_fusion_p50_ms,candidate__d1_fusion_p50_ms,raw_relative_change__d1_fusion_p50_ms,improvement_pct__d1_fusion_p50_ms,reference__d1_fusion_p95_ms,candidate__d1_fusion_p95_ms,raw_relative_change__d1_fusion_p95_ms,improvement_pct__d1_fusion_p95_ms,reference__d1_fusion_max_ms,candidate__d1_fusion_max_ms,raw_relative_change__d1_fusion_max_ms,improvement_pct__d1_fusion_max_ms,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib
short_seed_1151,short,1151,2.2,True,True,True,True,True,True,True,8687,1785,79.45205479452055,10277,12062,2.4245312605635263,2.2922650133259594,-0.05455332723028064,5.455332723028064,16.726128465961665,16.487776505528018,-0.014250276800079752,1.425027680007975,142.79506224556826,143.12584648723714,0.0023164963582565762,-0.23164963582565762,146.81098196888342,145.66576201468706,-0.007800642287367119,0.7800642287367119,8.278035602008458,8.347713404975366,0.008417190540954191,-0.8417190540954191,15.3,15.28,-0.0013071895424837483,0.13071895424837482,0.26576353446296186,0.26354522409559084,-0.008346932817000816,-0.8346932817000816,0.716298351646401,0.7002233754610643,-0.022441732761758586,2.2441732761758586,0.44431425601942465,0.43087852507596835,-0.030239252424232154,3.0239252424232155,867396.0,867036.0,-0.0004150353471770679,0.04150353471770679
short_seed_1152,short,1152,2.2,True,True,True,True,True,True,True,8892,1807,79.67836257309942,11166,12973,2.676846165850293,2.6551252884673886,-0.00811435399613437,0.811435399613437,16.606748977210373,16.573072993196547,-0.002027849283447325,0.2027849283447325,144.2727354238741,144.4436411722563,0.0011846018437236963,-0.11846018437236963,149.00434104492888,147.8513350011781,-0.007738070150608095,0.7738070150608095,8.775823466014117,8.804190263035707,0.0032323800873439927,-0.3232380087343993,16.27,16.26,-0.0006146281499691464,0.06146281499691464,0.2506887255104752,0.24988101509308303,-0.003221965470315667,-0.3221965470315667,0.8092392678954639,0.7279010521015152,-0.10051194871632917,10.051194871632916,0.541472967073787,0.5489051339100115,0.013725831737065663,-1.3725831737065664,884932.0,885280.0,0.000393250554844892,-0.0393250554844892
short_seed_1153,short,1153,2.2,True,True,True,True,True,True,True,8720,1794,79.42660550458716,11094,12888,2.7002574522048235,2.620857941394206,-0.02940442243601098,2.940442243601098,17.911972012370825,17.448203987441957,-0.025891511253399037,2.5891511253399035,144.38582838047296,142.74494100827724,-0.0113646012950232,1.13646012950232,149.80054995976388,149.12210096372291,-0.004529015388950175,0.4529015388950175,8.764948401018046,8.745125429995824,-0.002261618678772799,0.22616186787727993,16.49,16.31,-0.010915706488781063,1.0915706488781063,0.2509997662672459,0.25156871878063514,0.0022667451920391555,0.22667451920391554,0.718007231829688,0.7192932373727672,0.0017910760310897106,-0.17910760310897106,0.4839592110365629,0.4841916118748486,0.0004802074906021921,-0.048020749060219206,889100.0,889440.0,0.0003824091778202677,-0.03824091778202677
short_seed_1154,short,1154,2.2,True,True,True,True,True,True,True,8865,1803,79.66159052453469,10353,12156,2.642571322969161,2.6466892668395303,0.0015583094520765757,-0.15583094520765758,17.189664009492844,16.88563503557816,-0.01768673161655664,1.768673161655664,145.4979387926869,144.53416320029646,-0.006623981070712526,0.6623981070712526,150.46410297509283,159.38398201251402,0.059282439206763855,-5.928243920676386,9.015158606984187,8.94902355200611,-0.007335983520782484,0.7335983520782484,16.73,16.61,-0.007172743574417274,0.7172743574417274,0.24403342147476198,0.24583687675141097,0.0073901978907241804,0.739019789072418,0.7434345636866055,0.7248809051234275,-0.024956680075745467,2.4956680075745465,0.5792029539588839,0.5487512390245683,-0.052575206542329236,5.257520654232923,888304.0,888408.0,0.00011707703669014211,-0.011707703669014212
short_seed_1155,short,1155,2.2,True,True,True,True,True,True,True,8772,1798,79.50296397628819,10752,12550,2.5615825767745264,2.456983658892568,-0.04083370914150511,4.083370914150511,16.58735002274625,16.723223496228456,0.008191391228609936,-0.8191391228609936,144.79538273590148,143.5675842949422,-0.008479541389788032,0.8479541389788032,150.03213100135326,149.14709801087156,-0.00589895634071692,0.589895634071692,8.680994333990384,8.674239765037782,-0.0007780870131609149,0.07780870131609148,15.99,16.07,0.005003126954346471,-0.5003126954346471,0.2534271899459619,0.2536245319004527,0.0007786929039968474,0.07786929039968474,0.723417961911764,0.7212952402187511,-0.0029342949785255315,0.2934294978525531,0.4847793810768053,0.4816493460093625,-0.006456617565892107,0.6456617565892107,878156.0,878868.0,0.0008107898824354671,-0.0810789882435467
short_seed_1156,short,1156,2.2,True,True,True,True,True,True,True,8727,1789,79.50040105419961,10732,12521,2.257810989569407,2.203445682884194,-0.024078767858057574,2.4078767858057573,16.534808004507795,15.966476465109736,-0.034371825741376504,3.4371825741376503,146.37309578538407,146.14321754488628,-0.0015704951737499364,0.15704951737499365,170.84548296406865,150.36050899652764,-0.11990351522404197,11.990351522404197,8.290366863948293,8.186306975025218,-0.012551903990593302,1.25519039905933,15.3,15.2,-0.006535947712418394,0.6535947712418394,0.26536823232358725,0.26874144919213994,0.012711456978163916,1.2711456978163915,0.7067960121203214,0.7094150592456572,0.0037055205185423843,-0.37055205185423845,0.5345427189604379,0.46238875604467466,-0.1349825941995544,13.498259419955442,866792.0,866812.0,2.307358628136854e-05,-0.002307358628136854
short_seed_1157,short,1157,2.2,True,True,True,True,True,True,True,8572,1780,79.23471768548764,10169,11949,2.37008033861639,2.374857996182982,0.0020158209360030418,-0.20158209360030419,16.001379990484565,15.940067009069026,-0.0038317308539638807,0.38317308539638806,142.96519079944116,143.2382173719816,0.0019097416022299189,-0.19097416022299188,153.9474669843912,148.52507499745116,-0.03522235274900518,3.522235274900518,8.399539044010453,8.436761087970808,0.0044314388879348725,-0.44314388879348726,15.48,15.4,-0.005167958656330754,0.5167958656330753,0.26191913490404894,0.2607635770481607,-0.00441188787643006,-0.441188787643006,0.7991093531018123,0.7744160988950171,-0.03090097007492934,3.090097007492934,0.44013929303037,0.4382838530000299,-0.004215574614039466,0.42155746140394657,871356.0,871072.0,-0.0003259287822658018,0.03259287822658018
short_seed_1158,short,1158,2.2,True,True,True,True,True,True,True,8723,1791,79.46807291069587,11066,12857,2.4739877329557203,2.5060189447831362,0.012947199131479797,-1.2947199131479796,17.314682016149163,17.6720985036809,0.020642393963595698,-2.0642393963595698,143.23655674234033,147.97139462025368,0.03305607161746122,-3.305607161746122,163.3425990003161,228.28149801352993,0.39756254284338977,-39.75625428433898,8.59916211903328,8.715691829042044,0.01355128655509789,-1.355128655509789,15.81,16.0,0.012017710309930391,-1.2017710309930392,0.25583887936367045,0.25241828682712913,-0.013370104438579094,-1.3370104438579093,0.7194032571860589,0.7205885573057458,0.0016476157257379754,-0.16476157257379753,0.4791309980209917,0.4825968759250827,0.007233674962393444,-0.7233674962393444,876044.0,876616.0,0.0006529352406956728,-0.06529352406956727
short_seed_1159,short,1159,2.2,True,True,True,True,True,True,True,8642,1784,79.3566304096274,10971,12755,2.2738804927794263,2.3503853880101815,0.03364508182100687,-3.364508182100687,10.400936007499695,9.93353099329397,-0.04493874530798931,4.493874530798931,143.66055649588816,143.2853339938447,-0.0026118686380990756,0.2611868638099076,154.80014204513282,153.67592801339924,-0.007262357882112291,0.7262357882112291,8.342952426988631,8.425341492984444,0.009875288959971997,-0.9875288959971997,15.31,15.47,0.010450685826257357,-1.0450685826257358,0.26369561845794737,0.26111701250707536,-0.009778721261852232,-0.9778721261852231,0.7866136236698367,0.7077205700916238,-0.10029454258642034,10.029454258642033,0.5560975369298831,0.48752159101422876,-0.12331639930334895,12.331639930334894,869736.0,870168.0,0.0004967024476392836,-0.04967024476392836
short_seed_1160,short,1160,2.2,True,True,True,True,True,True,True,8886,1806,79.67589466576638,10551,12357,2.4738643200835213,2.5007233532960527,0.010857116534032294,-1.0857116534032294,8.475115057080984,9.084274992346764,0.07187630270067243,-7.187630270067243,142.82557601109147,143.64388200920075,0.005729408002147553,-0.5729408002147554,160.64181603724137,181.22688704170287,0.12814266865415222,-12.814266865415222,8.474742161983158,8.55172794504324,0.009084144577923774,-0.9084144577923774,15.59,15.71,0.0076972418216806286,-0.7697241821680628,0.25959491839987525,0.25725794998836066,-0.009002365785584337,-0.9002365785584338,0.727212512283586,0.7402602176880464,0.01794208045663041,-1.794208045663041,0.4736168679664843,0.4788726579863578,0.011097134361872978,-1.1097134361872978,869296.0,868632.0,-0.0007638364837753769,0.0763836483775377
