case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,cv_motion_model_cache_audit_passed,reference_prediction_request_count,candidate_prediction_request_count,reference_model_build_count,candidate_model_build_count,candidate_model_build_reduction_pct,candidate_cache_hit_count,candidate_cache_miss_count,candidate_cache_hit_ratio_pct,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d1_fusion_p50_ms,candidate__d1_fusion_p50_ms,raw_relative_change__d1_fusion_p50_ms,improvement_pct__d1_fusion_p50_ms,reference__d1_fusion_p95_ms,candidate__d1_fusion_p95_ms,raw_relative_change__d1_fusion_p95_ms,improvement_pct__d1_fusion_p95_ms,reference__d1_fusion_max_ms,candidate__d1_fusion_max_ms,raw_relative_change__d1_fusion_max_ms,improvement_pct__d1_fusion_max_ms,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__d3_assignment_wall_s,candidate__d3_assignment_wall_s,raw_relative_change__d3_assignment_wall_s,improvement_pct__d3_assignment_wall_s,reference__d5_active_vision_wall_s,candidate__d5_active_vision_wall_s,raw_relative_change__d5_active_vision_wall_s,improvement_pct__d5_active_vision_wall_s,reference__d7_guidance_wall_s,candidate__d7_guidance_wall_s,raw_relative_change__d7_guidance_wall_s,improvement_pct__d7_guidance_wall_s,reference__module_publication_bus_wall_s,candidate__module_publication_bus_wall_s,raw_relative_change__module_publication_bus_wall_s,improvement_pct__module_publication_bus_wall_s,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor
short_seed_1101,short,1101,2.2,True,True,True,True,True,32345,32345,32217,132,99.5902784244343,32085,132,99.5902784244343,3.280506477749441,3.0602188918273896,-0.06715048039569102,6.715048039569102,24.050211533904076,21.15565398707986,-0.12035476456178773,12.035476456178774,185.42487433587664,179.0103768376866,-0.03459351136768672,3.4593511367686722,188.06515401229262,184.49745303951204,-0.018970558323353124,1.8970558323353124,1.1419655267964117,1.139199978148099,-0.00242174442522005,0.242174442522005,0.5458852380979806,0.5489452042384073,0.005605511794179464,-0.5605511794179464,0.7013201189693063,0.7627697729622014,0.08761997885245955,-8.761997885245956,0.4674083439167589,0.46592826902633533,-0.0031665564162182643,0.3166556416218264,0.5457263819407672,0.5522423020447604,0.011939903071610162,-1.1939903071610163,0.8049916890449822,0.8176036111544818,0.01566714573719634,-1.566714573719634,9.857356843014713,9.654742161976174,-0.02055466635380255,2.055466635380255,17.07,16.96,-0.006444053895723458,0.6444053895723458,873584.0,873852.0,0.00030678217549771973,-0.03067821754977197,0.22318356076953846,0.2278672970329945,0.02098602713975202,2.098602713975202
short_seed_1102,short,1102,2.2,True,True,True,True,True,31702,31702,31593,129,99.59168170164277,31464,129,99.59168170164277,3.4717209660448134,3.147153120022267,-0.09348903589804133,9.348903589804133,24.56475151120685,21.606965514365584,-0.1204077311953217,12.040773119532169,190.8243585465243,181.15853469353166,-0.0506529875253638,5.06529875253638,206.78187400335446,202.79573102016002,-0.019277042547403242,1.9277042547403243,1.1761620193719864,1.1613987989258021,-0.012552029569928744,1.2552029569928744,0.5587569690542296,0.5537022420903668,-0.009046378378812123,0.9046378378812123,0.6252653440460563,0.7263532120268792,0.16167195086599412,-16.167195086599413,0.6265824399888515,0.5506130349822342,-0.12124406966778226,12.124406966778226,0.5757043029298075,0.5628556178999133,-0.022318202182102998,2.2318202182103,0.930111332796514,0.8136174460523762,-0.1252472501263716,12.52472501263716,10.18222766899271,9.879248506971635,-0.029755685285226693,2.975568528522669,17.57,17.52,-0.002845759817871412,0.28457598178714116,874452.0,874936.0,0.0005534894997095323,-0.05534894997095323,0.21606273907030388,0.22268900295882765,0.03066823977626091,3.066823977626091
short_seed_1103,short,1103,2.2,True,True,True,True,True,32966,32966,32820,116,99.64655697745278,32704,116,99.64655697745278,3.3310543957632035,3.170576532953419,-0.04817629607426942,4.817629607426942,15.97928802948445,15.23258100496605,-0.046729680517717774,4.672968051771777,188.77587863244113,183.004293020349,-0.030573745194055167,3.0573745194055166,197.58099201135337,216.74068202264607,0.09697132207025129,-9.69713220702513,1.16701471892884,1.196271333959885,0.0250696195656371,-2.50696195656371,0.5540510350256227,0.561138475080952,0.012792034681428916,-1.2792034681428917,0.6155586289823987,0.6187099909293465,0.005119515507657652,-0.5119515507657652,0.47692375496262684,0.48262601398164406,0.011956332557735701,-1.19563325577357,0.5562758310115896,0.5676555979298428,0.020457057962699917,-2.0457057962699916,0.7931326830293983,0.7860163451405242,-0.008972443124765719,0.8972443124765719,9.888016409007832,9.830204655998386,-0.005846648166641425,0.5846648166641425,17.2,17.21,0.0005813953488373003,-0.058139534883730026,867084.0,866716.0,-0.000424411014388456,0.0424411014388456,0.22249154016328632,0.22380002014073647,0.005881032494493309,0.5881032494493309
short_seed_1104,short,1104,2.2,True,True,True,True,True,30316,30316,30173,123,99.5923507771849,30050,123,99.5923507771849,3.4065258997725323,3.232023856311571,-0.051225808520232785,5.122580852023279,25.913524499628693,22.4558130139485,-0.13343269788444784,13.343269788444784,196.4565119007602,187.06470621109472,-0.04780602892109654,4.780602892109654,205.53837402258068,284.7245150478557,0.3852620777109753,-38.52620777109753,1.228052354126703,1.166876780160237,-0.04981511884317773,4.981511884317773,0.554927887103986,0.5470368819660507,-0.014219874908641262,1.4219874908641261,0.7880833609378897,0.7908180959057063,0.0034701087516453106,-0.34701087516453105,0.4852447201265022,0.48986224102554843,0.009515860157823942,-0.9515860157823942,0.5728411580785178,0.5811549096833915,0.014513188320407214,-1.4513188320407215,0.8276497687911615,0.8218656380195171,-0.006988621261977186,0.6988621261977186,10.03476288501406,9.800227321975399,-0.02337230742032959,2.337230742032959,17.26,17.0,-0.015063731170336126,1.5063731170336125,869464.0,869836.0,0.00042784980171691985,-0.04278498017169199,0.21923786592760308,0.22448458874692243,0.023931645188755492,2.3931645188755493
short_seed_1105,short,1105,2.2,True,True,True,True,True,25961,25961,25900,100,99.61389961389962,25800,100,99.61389961389962,2.936677545076236,2.7667342830682173,-0.05786922786022361,5.786922786022361,18.146358022931963,16.579168965108693,-0.08636383432106752,8.636383432106753,191.60720913205296,185.93660109327172,-0.029594961820424707,2.9594961820424706,198.00815300550312,195.76026900904253,-0.011352482018243525,1.1352482018243526,1.1357814670773223,1.1439331491128542,0.007177157113250286,-0.7177157113250285,0.5537859880132601,0.5622621770016849,0.01530589283927834,-1.5305892839278339,0.675920502981171,0.67433006799547,-0.002352991185629561,0.23529911856295607,0.4705660709296353,0.47922159609152004,0.018393857306339884,-1.8393857306339885,0.6323504619649611,0.6394302211119793,0.011195942080944486,-1.1195942080944485,0.8671117020421661,0.8688218488823622,0.001972233607467728,-0.1972233607467728,9.426600497972686,9.304125105962157,-0.01299253023790162,1.299253023790162,16.44,16.25,-0.011557177615571852,1.1557177615571852,859348.0,859764.0,0.0004840879364355302,-0.04840879364355302,0.23338211908663564,0.2364542581859978,0.013163558165403946,1.3163558165403946
short_seed_1106,short,1106,2.2,True,True,True,True,True,31086,31086,30960,127,99.58979328165375,30833,127,99.58979328165375,3.3122212371672504,3.06933629012201,-0.07332992866532245,7.332992866532245,25.385309010744095,22.34518399927765,-0.11975922807083968,11.975922807083968,190.5290195951238,184.59681421518323,-0.031135442740148293,3.113544274014829,197.4654400255531,188.78606701036915,-0.043953883849552594,4.395388384955259,1.159334177034907,1.1610139857511967,0.0014489426341125805,-0.14489426341125805,0.5679775960161351,0.5713066210155375,0.0058611906926481884,-0.5861190692648188,0.608194314991124,0.6077488899463788,-0.0007323729172833643,0.07323729172833643,0.46962468698620796,0.4699941861326806,0.000786796684058294,-0.0786796684058294,0.5485162489931099,0.5555229809251614,0.012773973323330835,-1.2773973323330836,0.9520307658822276,0.9546503437450156,0.002751568496171951,-0.2751568496171951,10.018236892996356,9.791057216003537,-0.02267661260352484,2.267661260352484,17.19,17.0,-0.011052937754508508,1.1052937754508507,866392.0,865720.0,-0.0007756304305672259,0.07756304305672258,0.21959951870752797,0.22469483646812807,0.023202772895810672,2.320277289581067
short_seed_1107,short,1107,2.2,True,True,True,True,True,26155,26155,26068,109,99.58186282031609,25959,109,99.58186282031609,3.023115000105463,2.7602455379092135,-0.08695317981190896,8.695317981190897,23.7923295062501,20.7205695041921,-0.1291071562055774,12.910715620557738,191.10604225716088,183.26998276461381,-0.04100372442438273,4.100372442438273,214.50892701977864,190.57033798890188,-0.111597169234218,11.1597169234218,1.1708260792074725,1.131886511866469,-0.033258199516158375,3.3258199516158373,0.5343091019312851,0.530826726986561,-0.006517528771523705,0.6517528771523705,0.6270515930373222,0.6219304359983653,-0.00816704254613395,0.816704254613395,0.5498377279145643,0.5414278840180486,-0.0152951379462677,1.52951379462677,0.5612834028434008,0.5518376128748059,-0.01682891373723784,1.682891373723784,0.796188325388357,0.7933538601500914,-0.0035600437081052716,0.35600437081052716,9.558864574006293,9.20010777504649,-0.03753131935098034,3.7531319350980343,16.6,16.11,-0.029518072289156743,2.9518072289156745,861320.0,861632.0,0.0003622347095156272,-0.03622347095156272,0.23015285790140036,0.23912763347915053,0.038994847422642254,3.8994847422642254
short_seed_1108,short,1108,2.2,True,True,True,True,True,31963,31963,31856,131,99.58877448518334,31725,131,99.58877448518334,3.539569242100697,3.277856068336405,-0.0739392722287778,7.39392722287778,25.936320947948843,22.71883498178795,-0.1240532908510043,12.40532908510043,191.67483940254894,184.00699383346364,-0.040004444991246634,4.000444499124663,200.5932049942203,191.1363269900903,-0.04714455808412084,4.714455808412084,1.1585382691118866,1.1450890830601566,-0.01160875424688384,1.1608754246883841,0.5543401149334386,0.5489104641019367,-0.009794800493833801,0.9794800493833802,0.8433308350504376,0.8403806290007196,-0.0034982784064115455,0.3498278406411546,0.4821415791520849,0.47894180699950084,-0.006636582055858581,0.6636582055858581,0.5697051468887366,0.5706066080019809,0.0015823292420076211,-0.15823292420076213,0.8404900500318035,0.8305651998962276,-0.011808408838629833,1.1808408838629834,10.166160152002703,9.855191794980783,-0.03058857546727321,3.058857546727321,17.66,17.24,-0.023782559456398737,2.3782559456398737,874136.0,873664.0,-0.000539961745083145,0.053996174508314496,0.21640422412257657,0.22323259108163201,0.03155376003745517,3.155376003745517
short_seed_1109,short,1109,2.2,True,True,True,True,True,28652,28652,28533,111,99.61097676374723,28422,111,99.61097676374723,3.207778111216612,3.0064122070907615,-0.0627742621666181,6.27742621666181,16.967994975857437,15.944212034810334,-0.06033611764405699,6.033611764405699,190.52685780334286,185.00599662656896,-0.028976813245261215,2.8976813245261215,276.7798800487071,274.21249100007117,-0.009275923698587325,0.9275923698587325,1.2409885282395408,1.156438585894648,-0.06813112323031288,6.813112323031288,0.5646106969215907,0.5672282530576922,0.004636037096663425,-0.46360370966634246,0.7032240999978967,0.6998415509588085,-0.004810058470832138,0.4810058470832138,0.4776594110298902,0.4757755580940284,-0.003943925090473956,0.39439250904739553,0.5634564860374667,0.6381623439956456,0.1325849640733596,-13.25849640733596,0.7966583179077134,0.883880430017598,0.10948497009227062,-10.948497009227061,9.686609795026015,9.490974946005736,-0.020196420952223824,2.0196420952223826,16.79,16.62,-0.010125074449076722,1.012507444907672,864604.0,865048.0,0.0005135298934541131,-0.051352989345411305,0.22711764451683394,0.2317991578858679,0.020612724207286215,2.0612724207286215
short_seed_1110,short,1110,2.2,True,True,True,True,True,32061,32061,31942,136,99.5742282887734,31806,136,99.5742282887734,3.388223496673163,3.1246198872104287,-0.07779994729437478,7.779994729437478,24.822029488859698,22.466527501819655,-0.09489562439272779,9.48956243927278,191.51102773321327,184.00692748837173,-0.03918364562951025,3.9183645629510253,202.73946598172188,190.52864803234115,-0.0602291117333889,6.02291117333889,1.3272084666532464,1.2259034512098879,-0.0763293920952857,7.632939209528571,0.5688246578793041,0.560042328084819,-0.015439432297515833,1.5439432297515832,0.714822974987328,0.7776617569616064,0.0879081733143683,-8.79081733143683,0.48524106008699164,0.5594354899949394,0.15290220884161485,-15.290220884161485,0.5729138141032308,0.5679812881862745,-0.00860954264940729,0.8609542649407289,0.8962175140040927,0.8146226787939668,-0.09104356245570233,9.104356245570234,10.182374402997084,9.804806307016406,-0.03708055518657261,3.7080555186572615,17.61,17.05,-0.03180011357183411,3.180011357183411,874104.0,874580.0,0.0005445576270100583,-0.054455762701005835,0.21605962547914673,0.2243797512272793,0.03850847065795546,3.850847065795546
