case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,reference_implementation,candidate_implementation,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d1_scan_input_p50_ms,candidate__d1_scan_input_p50_ms,raw_relative_change__d1_scan_input_p50_ms,improvement_pct__d1_scan_input_p50_ms,reference__d1_scan_input_p95_ms,candidate__d1_scan_input_p95_ms,raw_relative_change__d1_scan_input_p95_ms,improvement_pct__d1_scan_input_p95_ms,reference__d1_scan_input_max_ms,candidate__d1_scan_input_max_ms,raw_relative_change__d1_scan_input_max_ms,improvement_pct__d1_scan_input_max_ms,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor
short_seed_1101,short,1101,2.2,True,True,True,True,reference_v1,candidate_v2,1.2033533410867676,1.1532989638508298,-0.041595743766110256,4.159574376611026,0.9923735342454165,0.9685225086286664,-0.024034322554647755,2.4034322554647756,110.84566587232985,105.49772948434111,-0.048246689177260216,4.824668917726021,114.3161469954066,115.60296296374872,0.011256642234397839,-1.1256642234397838,10.612345924018882,10.496959592041094,-0.01087283931412704,1.087283931412704,18.74,17.83,-0.04855923159018144,4.855923159018144,1003024.0,998884.0,-0.004127518384405558,0.4127518384405558,0.20730571880631488,0.20958449736893944,0.010992357450368377,1.0992357450368377
short_seed_1102,short,1102,2.2,True,True,True,True,reference_v1,candidate_v2,1.356341182894539,1.13501689088298,-0.16317744738771076,16.317744738771076,0.974526978097856,0.9624114900361747,-0.01243217307880914,1.243217307880914,110.59863692789804,104.0821193746524,-0.05892041470180077,5.892041470180077,198.55454901698977,107.07111697411165,-0.4607470969353119,46.07470969353119,10.51008079899475,10.556082652998157,0.004376926769945191,-0.4376926769945191,17.82,17.84,0.001122334455667765,-0.1122334455667765,1053396.0,1053668.0,0.00025821248609259956,-0.025821248609259956,0.20932284366552367,0.20841064553195332,-0.004357852767507548,-0.4357852767507548
short_seed_1103,short,1103,2.2,True,True,True,True,reference_v1,candidate_v2,1.203865343122743,1.1489879643195309,-0.04558431648249304,4.558431648249304,0.9746419964358211,0.9765760041773319,0.0019843262947660395,-0.19843262947660395,110.49211331410334,105.25777377770282,-0.047372969702557,4.7372969702557,112.39051801385358,111.21162201743573,-0.010489283413326169,1.048928341332617,10.528296946024057,10.458724051015452,-0.006608181300858799,0.6608181300858799,17.67,17.58,-0.00509337860781004,0.509337860781004,1072020.0,1071080.0,-0.0008768493125128262,0.08768493125128263,0.20896067153869705,0.21035070714829684,0.006652139847006478,0.6652139847006477
short_seed_1104,short,1104,2.2,True,True,True,True,reference_v1,candidate_v2,1.1821220440324396,1.1193599691614509,-0.053092720153407796,5.309272015340779,0.9898410062305629,0.9525110071990639,-0.03771312644811138,3.7713126448111383,110.50796560302842,104.18180779088289,-0.057246170243244195,5.724617024324419,112.23503097426146,107.8330060117878,-0.03922148837365372,3.9221488373653717,10.40492666902719,10.346053045010194,-0.005658244972763548,0.5658244972763549,17.6,17.43,-0.009659090909091006,0.9659090909091006,1003592.0,1003596.0,3.985683425136909e-06,-0.0003985683425136909,0.21143829937301128,0.2126414769409132,0.005690442892653616,0.5690442892653617
short_seed_1105,short,1105,2.2,True,True,True,True,reference_v1,candidate_v2,1.1724836880457588,1.1178267918876372,-0.04661633821893173,4.661633821893172,0.9850449860095978,0.9786690352484584,-0.006472750840515693,0.6472750840515693,110.79794304678217,105.37777337594889,-0.04891940700148845,4.8919407001488455,113.04058297537267,107.05231898464262,-0.05297446132275049,5.2974461322750495,9.724483724043239,9.686535038985312,-0.0039023855800283704,0.390238558002837,16.61,16.46,-0.00903070439494272,0.903070439494272,944564.0,944768.0,0.00021597266040204792,-0.02159726604020479,0.22623308984112173,0.22711939730209818,0.003917673853983463,0.39176738539834627
short_seed_1106,short,1106,2.2,True,True,True,True,reference_v1,candidate_v2,1.2624537599040195,1.2121323886094615,-0.03985997182057886,3.9859971820578863,0.9846680331975222,0.9655010071583092,-0.019465469978721325,1.9465469978721326,110.74705177452415,104.03949558967723,-0.06056645371023686,6.056645371023686,179.2857309919782,194.90403903182596,0.08711406063066209,-8.711406063066208,10.391544932033867,10.194554870016873,-0.018956763725260457,1.8956763725260457,17.45,17.35,-0.005730659025787844,0.5730659025787844,1013680.0,1013740.0,5.919027701049641e-05,-0.005919027701049641,0.211710579551852,0.215801477166051,0.019323066531954147,1.9323066531954147
short_seed_1107,short,1107,2.2,True,True,True,True,reference_v1,candidate_v2,1.1745289228274487,1.1888187890290283,0.012166465996579728,-1.2166465996579727,1.0053575097117573,0.9709199657663703,-0.034254027659534246,3.4254027659534247,111.17353104054928,104.17814076936338,-0.06292316350583853,6.292316350583853,113.07709501124918,183.97388298762962,0.626977443746034,-62.6977443746034,9.737701786973048,9.610348196991254,-0.013078403176421574,1.3078403176421574,16.52,16.4,-0.0072639225181598665,0.7263922518159867,950592.0,957468.0,0.00723338719450616,-0.723338719450616,0.22592599857012743,0.22891990538789866,0.013251714440655317,1.3251714440655318
short_seed_1108,short,1108,2.2,True,True,True,True,reference_v1,candidate_v2,1.1893506520427763,1.124070438730996,-0.05488727247902696,5.488727247902696,0.9922269964590669,0.9667979902587831,-0.025628214401575002,2.5628214401575002,110.18373903352767,104.36316099949181,-0.05282610741921478,5.282610741921478,113.78629802493379,105.6746700196527,-0.07128826709437022,7.128826709437022,10.600012768991292,10.526393094973173,-0.006945243899467893,0.6945243899467892,17.97,17.85,-0.006677796327211878,0.6677796327211878,1008516.0,1008112.0,-0.00040058858758809977,0.040058858758809976,0.20754691979577253,0.20899846511057993,0.006993817668967242,0.6993817668967242
short_seed_1109,short,1109,2.2,True,True,True,True,reference_v1,candidate_v2,1.1851248307502829,1.1271877939580008,-0.04888686431082795,4.888686431082795,0.9887950145639479,0.9596929885447025,-0.029431809010565437,2.9431809010565435,110.76022571651265,105.00535818282515,-0.05195788918322455,5.195788918322455,113.27206797432154,106.08336102450266,-0.06346407440401405,6.346407440401405,10.07273041998269,10.022669497993775,-0.004969945575988291,0.4969945575988291,17.01,16.97,-0.002351557907113621,0.2351557907113621,998724.0,999676.0,0.000953216304003909,-0.09532163040039089,0.21841148410321307,0.21950239908044172,0.004994769307611737,0.49947693076117367
short_seed_1110,short,1110,2.2,True,True,True,True,reference_v1,candidate_v2,1.194899033755064,1.1298033480416052,-0.054477980042289015,5.447798004228901,0.9885680046863854,0.9718100191093981,-0.016951778226226927,1.6951778226226928,110.8657856733771,104.47110214154236,-0.057679504032688594,5.767950403268859,113.38729702401906,105.54799099918455,-0.06913742747720582,6.9137427477205815,10.585111141030211,10.529439242032822,-0.005259453420530682,0.5259453420530682,17.9,17.84,-0.0033519553072624986,0.33519553072624986,1048948.0,1050020.0,0.0010219763038777899,-0.10219763038777899,0.2078391025553164,0.20893800224590747,0.005287261526250088,0.5287261526250089
