case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,truth_guard_audit_passed,artifact_provenance_passed,reference_message_count,reference_validation_count,candidate_message_count,candidate_validation_count,reference__module_publication_bus_wall_s,candidate__module_publication_bus_wall_s,raw_relative_change__module_publication_bus_wall_s,improvement_pct__module_publication_bus_wall_s,reference__module_publication_bus_finalize_wall_s,candidate__module_publication_bus_finalize_wall_s,raw_relative_change__module_publication_bus_finalize_wall_s,improvement_pct__module_publication_bus_finalize_wall_s,reference__module_publication_bus_total_wall_s,candidate__module_publication_bus_total_wall_s,raw_relative_change__module_publication_bus_total_wall_s,improvement_pct__module_publication_bus_total_wall_s,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib
short_seed_1101,short,1101,2.2,True,True,True,True,True,True,3315,3315,3315,3315,0.8215138090308756,0.6361448467941955,-0.2256431482939482,22.564314829394817,0.051013669988606125,0.022243392013479024,-0.5639719310834317,56.39719310834317,0.8725274790194817,0.6583882388076745,-0.24542406441164463,24.542406441164463,9.16607129300246,8.972535844019148,-0.02111432944352724,2.111432944352724,17.36,16.31,-0.06048387096774198,6.0483870967741975,0.24001558897752834,0.24519266774135665,0.021569760472154233,2.1569760472154234,2.67083217081381,2.5849212550674565,-0.032166347509651375,3.2166347509651376,0.5733739021234214,0.482280396099668,-0.15887278037315541,15.887278037315541,885600.0,875740.0,-0.011133694670280036,1.1133694670280037
short_seed_1102,short,1102,2.2,True,True,True,True,True,True,3314,3314,3314,3314,0.8376827440806665,0.6322781119379215,-0.24520575790082777,24.520575790082777,0.06625137903029099,0.0291594669688493,-0.559866263983468,55.98662639834679,0.9039341231109574,0.6614375789067708,-0.26826793900601575,26.826793900601576,9.314033165981527,8.979672347020824,-0.03589860729527136,3.5898607295271363,16.62,16.21,-0.024669073405535508,2.4669073405535507,0.23620272343835494,0.24499780336972896,0.03723530280830733,3.7235302808307327,2.6225554100237787,2.5837474100408144,-0.01479778075789536,1.479778075789536,0.5600607981323265,0.5584582770825364,-0.00286133408218201,0.286133408218201,875128.0,875412.0,0.00032452395535281694,-0.032452395535281696
short_seed_1103,short,1103,2.2,True,True,True,True,True,True,3323,3323,3323,3323,0.8045458871638402,0.6286385477287695,-0.21864177325568557,21.864177325568555,0.0730122709646821,0.03023141500307247,-0.5859406288335262,58.59406288335261,0.8775581581285223,0.658869962731842,-0.24920080039259634,24.920080039259634,9.335468520992436,9.153437082015444,-0.019498907694633895,1.9498907694633896,16.51,16.43,-0.0048455481526348786,0.48455481526348787,0.23566037366554393,0.2403468751997577,0.019886676157379712,1.9886676157379712,2.71575932984706,2.7182203487609513,0.0009061991932951439,-0.0906199193295144,0.4886325998813845,0.49128341500181705,0.0054249657535661985,-0.5424965753566199,872232.0,872616.0,0.00044024984178521313,-0.04402498417852131
short_seed_1104,short,1104,2.2,True,True,True,True,True,True,3294,3294,3294,3294,0.8266407666960731,0.7238675279659219,-0.12432636142651954,12.432636142651955,0.054173153010196984,0.0226445309817791,-0.581997175288713,58.1997175288713,0.8808139197062701,0.746512058947701,-0.15247472565301362,15.247472565301361,9.139383637986612,8.818182054965291,-0.03514477515598421,3.5144775155984207,16.33,16.13,-0.012247397428046498,1.2247397428046498,0.24071645169330652,0.249484529383382,0.03642492080785059,3.6424920807850594,2.620194044196978,2.6144659528508782,-0.0021861324960974348,0.2186132496097435,0.4833291681134142,0.4911378630786203,0.016156059845686285,-1.6156059845686286,871852.0,872292.0,0.0005046728114404738,-0.05046728114404738
short_seed_1105,short,1105,2.2,True,True,True,True,True,True,3278,3278,3278,3278,0.8050610328209586,0.7071536738658324,-0.12161482789951447,12.161482789951448,0.045388898986857384,0.01889831101289019,-0.5836358353093715,58.36358353093715,0.850449931807816,0.7260519848787226,-0.1462730988344706,14.62730988344706,8.756049367017113,8.575147719006054,-0.020660190506975817,2.066019050697582,15.78,15.48,-0.019011406844106397,1.9011406844106398,0.25125486481233317,0.2565553471602472,0.02109603868515363,2.109603868515363,2.2988162799738348,2.4688419199083,0.07396225675607297,-7.3962256756072975,0.4859938789741136,0.48845915409037843,0.005072646432232396,-0.5072646432232396,863896.0,864292.0,0.0004583885097280228,-0.045838850972802284
short_seed_1106,short,1106,2.2,True,True,True,True,True,True,3304,3304,3304,3304,0.9185050149681047,0.720527395082172,-0.21554331948074065,21.554331948074065,0.05909586604684591,0.02448603603988886,-0.5856556866350259,58.56556866350259,0.9776008810149506,0.7450134311220609,-0.23791657148612239,23.791657148612238,9.106103233993053,8.808594855014235,-0.03267131629567089,3.267131629567089,16.36,16.06,-0.018337408312958478,1.8337408312958479,0.2415962067931986,0.24975606622975338,0.033774782910972835,3.3774782910972836,2.55073277594056,2.5345193320536055,-0.006356386697926746,0.6356386697926746,0.4902742760023102,0.48986310506006703,-0.0008386549373870293,0.08386549373870293,871392.0,871672.0,0.00032132496052293344,-0.03213249605229335
short_seed_1107,short,1107,2.2,True,True,True,True,True,True,3268,3268,3268,3268,0.7978772547794506,0.6140052049304359,-0.23045154971843468,23.045154971843466,0.050610562961082906,0.021584025991614908,-0.5735272494753321,57.352724947533204,0.8484878177405335,0.6355892309220508,-0.25091531353439755,25.091531353439755,8.853298537957016,8.561452545050997,-0.03296466188898735,3.296466188898735,15.88,15.53,-0.02204030226700261,2.2040302267002607,0.24849495253863554,0.25696574131824446,0.03408837359902467,3.408837359902467,2.4849666079389863,2.395650583668612,-0.03594254505675326,3.594254505675326,0.478322699025739,0.46692011499544606,-0.023838684748848486,2.3838684748848484,863100.0,863184.0,9.732360097323601e-05,-0.009732360097323601
short_seed_1108,short,1108,2.2,True,True,True,True,True,True,3305,3305,3305,3305,0.8545086430385709,0.6392613759380765,-0.25189595079470545,25.189595079470546,0.05241518496768549,0.021256626001559198,-0.5944567206113242,59.44567206113241,0.9069238280062564,0.6605180019396357,-0.2716940700613292,27.169407006132918,9.358502509014215,9.025116571981926,-0.03562385506774922,3.562385506774922,16.82,16.42,-0.02378121284185485,2.378121284185485,0.23508034516002269,0.2437641644241807,0.03693979289611305,3.6939792896113053,2.6330410249647684,2.611819926998578,-0.008059539431777132,0.8059539431777132,0.4939754340448417,0.4894444170058705,-0.00917255540800815,0.9172555408008151,875924.0,875276.0,-0.0007397902101095528,0.07397902101095528
short_seed_1109,short,1109,2.2,True,True,True,True,True,True,3292,3292,3292,3292,0.9019378380617127,0.7869590507471003,-0.12747972472438318,12.747972472438319,0.06095021701185033,0.024247771012596786,-0.6021708830358655,60.21708830358655,0.962888055073563,0.811206821759697,-0.15752738079431028,15.752738079431028,9.15766997198807,9.440057454979979,0.030836171630522654,-3.0836171630522653,16.24,16.5,0.016009852216748867,-1.6009852216748868,0.24023578123359632,0.23304942904128395,-0.029913746218031636,-2.9913746218031636,2.541843634971883,2.6212504530558363,0.031239851653908475,-3.1239851653908475,0.5030385860009119,0.5296410820446908,0.052883609297778064,-5.288360929777807,866920.0,867636.0,0.0008259124255986711,-0.08259124255986712
short_seed_1110,short,1110,2.2,True,True,True,True,True,True,3307,3307,3307,3307,0.8558485648245551,0.6384547108900733,-0.2540097195571584,25.40097195571584,0.06589782697847113,0.026540909020695835,-0.5972415140583198,59.72415140583198,0.9217463918030262,0.6649956199107692,-0.27854817135766313,27.854817135766314,9.44834099302534,9.001427793002222,-0.04730070605548897,4.730070605548898,16.88,16.3,-0.03436018957345962,3.436018957345962,0.2328451102287709,0.2444056710325774,0.049649145702257654,4.9649145702257655,2.6894024219946004,2.6704165569972247,-0.007059510634074187,0.7059510634074186,0.5046926089562476,0.4910137699916959,-0.027103307482233257,2.710330748223326,876952.0,876212.0,-0.0008438318174768972,0.08438318174768972
