frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
12,3.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
13,3.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,4,3,3
13,3.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,6,4,4
13,3.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,4,2
13,3.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
13,3.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
13,3.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
14,3.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,3,3
14,3.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,4,3
14,3.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
14,3.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
14,3.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
14,3.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
15,3.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
15,3.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,4,4
15,3.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,4,3
15,3.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
15,3.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
15,3.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
16,4.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,3,2
16,4.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,3
16,4.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,5,4
16,4.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
16,4.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
16,4.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
17,4.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
17,4.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,5,4,4
17,4.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
17,4.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,3,1
17,4.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
17,4.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
18,4.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
18,4.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,4,4
18,4.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
18,4.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
18,4.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
18,4.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
19,4.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
19,4.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,5,4,4
19,4.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
19,4.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,3,1
19,4.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
19,4.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
20,5.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,3,2
20,5.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,4,3
20,5.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,5,4
20,5.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
20,5.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
20,5.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
21,5.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,4,2
21,5.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,3
21,5.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
21,5.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
21,5.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
21,5.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
22,5.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,4,2
22,5.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
22,5.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,4,4
22,5.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
22,5.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
22,5.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
23,5.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,4,3
23,5.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
23,5.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
23,5.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
23,5.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
23,5.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
24,6.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,4,4,4
24,6.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,2,5,2
24,6.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
24,6.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
24,6.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
24,6.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
25,6.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,4,4,4
25,6.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,3
25,6.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
25,6.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
25,6.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
25,6.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
26,6.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,4,1
26,6.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,4
26,6.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
26,6.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
26,6.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
26,6.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
27,6.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,1
27,6.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,4
27,6.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,5,5,4
27,6.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
27,6.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
27,6.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
28,7.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,4,2
28,7.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,2
28,7.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,5,3
28,7.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,5,3
28,7.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
28,7.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
29,7.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,4,3
29,7.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
29,7.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,5,5,4
29,7.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
29,7.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
29,7.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
30,7.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,4,2
30,7.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,2,5,2
30,7.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
30,7.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,5,3
30,7.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
30,7.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
31,7.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,4,3
31,7.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,4
31,7.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,4,4
31,7.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
31,7.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
31,7.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
32,8.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,4,1
32,8.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,3
32,8.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,5,5,4
