frame_id,timestamp,resource_id,camera_id,local_track_id,global_track_id,truth_global_track_id,mahalanobis_d2,pixel_error_px,gate_passed,selected,stable_cross_view_support,decision_state,reject_reasons,id_match
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0003,G-102,G-104,154.9357446435487,886.8908983450722,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0004,G-103,G-101,159.19628340032122,900.1079492281917,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0001,G-103,G-102,40.585599681573576,454.47926686454815,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0002,G-103,G-103,0.027315354793715475,11.783165509499891,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0003,G-103,G-104,36.10756093317183,428.673612128341,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0004,G-104,G-101,349.5225560791962,1339.3178499623805,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0001,G-104,G-102,155.6137699568254,893.6553490467304,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0002,G-104,G-103,39.10663802715082,447.9930402884182,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0003,G-104,G-104,0.022207898109669888,10.675402217836865,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0004,G-105,G-101,,1767.44993784043,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0001,G-105,G-102,,1321.7888712154138,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0002,G-105,G-103,,876.1293321873536,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0003,G-105,G-104,,438.78970673760955,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0001,G-101,G-101,0.007623340934677443,6.221535005409632,True,True,False,candidate,stability_window_failed,True
