frame_id,timestamp,resource_id,camera_id,local_track_id,global_track_id,truth_global_track_id,mahalanobis_d2,pixel_error_px,gate_passed,selected,stable_cross_view_support,decision_state,reject_reasons,id_match
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:3,G-102,G-104,154.68547576554366,886.1743066705276,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:1,G-103,,40.528247386289344,454.1580649791861,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:2,G-103,G-101,158.8063145459625,899.0048164553353,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:3,G-103,G-104,35.98537462648288,427.94790296046364,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:1,G-104,,155.51005543267297,893.3575509526677,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:2,G-104,G-101,348.94570490018674,1338.212176509621,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:3,G-104,G-104,0.026057450847343115,11.56158775544686,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:1,G-105,,,1321.487464964664,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:2,G-105,G-101,,1766.3447672420052,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0/yolov8_bytetrack:track:3,G-105,G-104,,439.4510707914215,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:1,G-101,G-103,152.56554420952548,884.6268198064151,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:2,G-101,G-102,37.72158765053933,439.8722233473668,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:1,G-102,G-103,39.70667977510943,449.60399632242627,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:2,G-102,G-102,0.034488494647656465,13.234720211539251,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:1,G-103,G-103,0.031228583258723783,12.58903102153868,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:2,G-103,G-102,40.92038270116752,455.7072884228641,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:1,G-104,G-103,39.52994292025032,448.5764180579283,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:2,G-104,G-102,156.78760541636933,893.3655211540199,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:1,G-105,G-103,150.42617786546273,878.3207611575499,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0/yolov8_bytetrack:track:2,G-105,G-102,341.35877198681084,1323.1130924954778,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:1,G-101,G-104,,1328.0337414319115,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:2,G-101,G-103,,883.2456931115053,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:1,G-102,G-104,156.03686610222366,894.9387956665673,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:2,G-102,G-103,39.494562806427105,450.2436495349916,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:1,G-103,G-104,36.76189305911859,432.4825205951348,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:2,G-103,G-103,0.04332041743191553,14.840268967897728,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:1,G-104,G-104,0.0029118521526037234,3.8446483609098934,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:2,G-104,G-103,39.64146098806771,448.5870976985421,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:1,G-105,G-104,37.215031713802695,435.14431511716583,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0/yolov8_bytetrack:track:2,G-105,G-103,152.18392448614907,879.9510458650612,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_5:0,0.0,INT-05,D5_Primary_5:0,D5_Primary_5:0/yolov8_bytetrack:track:1,G-101,G-105,,1771.455909520897,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_5:0,0.0,INT-05,D5_Primary_5:0,D5_Primary_5:0/yolov8_bytetrack:track:2,G-101,G-104,,1326.6556124880674,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_5:0,0.0,INT-05,D5_Primary_5:0,D5_Primary_5:0/yolov8_bytetrack:track:1,G-102,G-105,,1340.328392105719,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_5:0,0.0,INT-05,D5_Primary_5:0,D5_Primary_5:0/yolov8_bytetrack:track:2,G-102,G-104,,895.5622195015598,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_5:0,0.0,INT-05,D5_Primary_5:0,D5_Primary_5:0/yolov8_bytetrack:track:1,G-103,G-105,149.55583398905594,875.7524010507476,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_5:0,0.0,INT-05,D5_Primary_5:0,D5_Primary_5:0/yolov8_bytetrack:track:2,G-103,G-104,36.22344251543799,430.9968237043792,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_yolo_bytetrack:0000:D5_Primary_5:0,0.0,INT-05,D5_Primary_5:0,D5_Primary_5:0/yolov8_bytetrack:track:1,G-104,G-105,38.21402007974386,441.0248311987191,False,False,False,rejected,geometry_gate_rejected,
