frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
13,3.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
13,3.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,2,2,2
13,3.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,2,2,2
13,3.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
14,3.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
14,3.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
14,3.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
14,3.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
14,3.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
14,3.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
15,3.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
15,3.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
15,3.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
15,3.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
15,3.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
15,3.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
16,4.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,0,0,0
16,4.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
16,4.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
16,4.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
16,4.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
16,4.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
17,4.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
17,4.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
17,4.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,4,4,4
17,4.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,3,3,3
17,4.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
17,4.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
18,4.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
18,4.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
18,4.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
18,4.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
18,4.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
18,4.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
19,4.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
19,4.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
19,4.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
19,4.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
19,4.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
19,4.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
20,5.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
20,5.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,3,3,3
20,5.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
20,5.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
20,5.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
20,5.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
21,5.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
21,5.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,2,2,2
21,5.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
21,5.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
21,5.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
21,5.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
22,5.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
22,5.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
22,5.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
22,5.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
22,5.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
