case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,consistency_evidence_records_digest_equal,existing_operation_counts_equal,publication_evidence_snapshot_audit_passed,reference_returned_record_count,candidate_returned_record_count,candidate_returned_record_reduction_pct,candidate_selection_count,candidate_subset_success_count,candidate_fallback_count,candidate_lookup_miss_count,candidate_invalid_required_id_count,candidate_empty_required_id_selection_count,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d1_fusion_p50_ms,candidate__d1_fusion_p50_ms,raw_relative_change__d1_fusion_p50_ms,improvement_pct__d1_fusion_p50_ms,reference__d1_fusion_p95_ms,candidate__d1_fusion_p95_ms,raw_relative_change__d1_fusion_p95_ms,improvement_pct__d1_fusion_p95_ms,reference__d1_fusion_max_ms,candidate__d1_fusion_max_ms,raw_relative_change__d1_fusion_max_ms,improvement_pct__d1_fusion_max_ms,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib
short_seed_1151,short,1151,2.2,True,True,True,True,True,True,True,13679,4429,67.6219021858323,14,14,0,0,0,0,2.317637719854247,2.4215824797865935,0.044849442620774914,-4.484944262077492,16.660303983371705,16.89511799486354,0.014094221313500521,-1.4094221313500521,143.8010627462063,145.87975322501734,0.014455320698705195,-1.4455320698705194,148.45082798274234,171.82843200862408,0.15747708748784764,-15.747708748784763,8.358838936954271,8.398184624034911,0.004707075633039632,-0.4707075633039632,16.25,15.45,-0.04923076923076927,4.923076923076927,0.263194448008065,0.2619613759983058,-0.004685022876019826,-0.4685022876019826,0.7803246945841238,0.7061092321528122,-0.09510843748302102,9.510843748302102,0.4319362490787171,0.42903921101242304,-0.006707096411734782,0.6707096411734782,873468.0,866860.0,-0.007565245664408999,0.7565245664408999
short_seed_1152,short,1152,2.2,True,True,True,True,True,True,True,15141,5047,66.66666666666666,16,16,0,0,0,0,2.6705084463465028,2.696185597917065,0.009615079707271079,-0.9615079707271079,16.60681504290551,16.881705028936267,0.01655284203024778,-1.655284203024778,146.75728979054836,145.05558901000768,-0.011595340735505128,1.1595340735505129,152.1377680473961,154.39409104874358,0.014830788109396746,-1.4830788109396746,8.825727575982455,8.818022049963474,-0.0008730754436552086,0.08730754436552085,16.56,16.43,-0.007850241545893661,0.7850241545893661,0.24927123356797043,0.24948905633651858,0.0008738383704782887,0.08738383704782887,0.8103963620960712,0.8092229246394709,-0.001447979669559843,0.1447979669559843,0.5490720130037516,0.5444179200567305,-0.008476288786894201,0.8476288786894202,885112.0,885736.0,0.0007049955259899312,-0.07049955259899313
short_seed_1153,short,1153,2.2,True,True,True,True,True,True,True,15076,5049,66.50968426638364,16,16,0,0,0,0,2.694173429219518,2.720046939619351,0.009603505891351874,-0.9603505891351874,17.65410997904837,17.595951969269663,-0.0032943042638642933,0.32943042638642933,143.7359059927985,143.26772500062359,-0.0032572306059585345,0.32572306059585343,150.89217602508143,152.39116497104988,0.009934172767972316,-0.9934172767972316,8.804216841992456,8.774502672022209,-0.0033749929725178564,0.3374992972517856,16.64,16.53,-0.006610576923076888,0.6610576923076888,0.24988026072993957,0.250726460773073,0.0033864221233863025,0.33864221233863023,0.7214092280482873,0.7220235101995058,0.000851503040625628,-0.0851503040625628,0.4886806309223175,0.5643990780808963,0.15494464557694998,-15.494464557694998,889552.0,889456.0,-0.00010791949205892404,0.010791949205892404
short_seed_1154,short,1154,2.2,True,True,True,True,True,True,True,13494,4440,67.0964873277012,13,13,0,0,0,0,2.6096401977119967,2.6183189020957798,0.0033256325494189203,-0.33256325494189204,16.700722044333816,16.855532012414187,0.009269657184247024,-0.9269657184247024,144.59130039904267,143.86021620593965,-0.005056211480810887,0.5056211480810887,148.59477197751403,151.84202697128057,0.02185309045905016,-2.185309045905016,8.884061819000635,8.866778897994664,-0.0019453850454989156,0.19453850454989155,16.71,16.7,-0.000598444045481841,0.0598444045481841,0.2476344767541788,0.24811716016709953,0.0019491769451791075,0.19491769451791074,0.7247137358644977,0.724549196951557,-0.00022703987077669354,0.022703987077669355,0.5717445119516924,0.5663066820707172,-0.009510943729766203,0.9510943729766204,888288.0,887876.0,-0.0004638135379516553,0.04638135379516553
short_seed_1155,short,1155,2.2,True,True,True,True,True,True,True,14468,4848,66.49156759745645,15,15,0,0,0,0,2.5490208888659254,2.5441240266663954,-0.0019210757435999862,0.19210757435999862,16.636891494272277,16.860510979313403,0.013441181912986207,-1.3441181912986206,144.88867564941756,143.934326962335,-0.006586772104893581,0.6586772104893581,154.82867998071015,151.23616898199543,-0.02320313651942457,2.320313651942457,8.724690450995695,8.683983806986362,-0.004665683468997746,0.4665683468997746,16.15,16.04,-0.006811145510835879,0.6811145510835879,0.25215794329401425,0.25333994729816006,0.0046875541127316435,0.46875541127316434,0.720546321303118,0.7256758990115486,0.007119011723151505,-0.7119011723151505,0.4893853940302506,0.48861902696080506,-0.0015659786311443913,0.15659786311443913,878696.0,878168.0,-0.0006008904103353151,0.06008904103353151
short_seed_1156,short,1156,2.2,True,True,True,True,True,True,True,14394,4614,67.94497707378075,15,15,0,0,0,0,2.2594654652057216,2.243423550738953,-0.007099871502266093,0.7099871502266093,16.36678949580528,16.19215900427662,-0.010669807390961858,1.0669807390961858,148.0202002567239,145.82123860600404,-0.014855821346721742,1.4855821346721743,161.94359498331323,159.22526398207992,-0.016785665413401547,1.6785665413401547,8.293284055020195,8.240084565011784,-0.006414767618650019,0.6414767618650019,15.45,15.27,-0.011650485436893185,1.1650485436893185,0.2652748881389476,0.26698755123720674,0.006456182529279044,0.6456182529279044,0.7125692842528224,0.7061980242142454,-0.008941249895801672,0.8941249895801673,0.5417233689804561,0.5495541699929163,0.014455350204289702,-1.44553502042897,867644.0,867312.0,-0.00038264541678384223,0.03826454167838422
short_seed_1157,short,1157,2.2,True,True,True,True,True,True,True,13742,4483,67.3773832047737,14,14,0,0,0,0,2.384734259278048,2.3856824530521408,0.00039760982608603014,-0.039760982608603015,16.457558958791196,16.431967029348016,-0.0015550258399353947,0.15550258399353947,142.37860998837277,143.18620540434495,0.00567216814406409,-0.5672168144064089,152.71192602813244,152.41771703585982,-0.001926561991094373,0.1926561991094373,8.563707948022056,8.414604098012205,-0.017411132060416584,1.7411132060416583,15.76,15.58,-0.011421319796954297,1.1421319796954297,0.25689806487482214,0.2614502089907842,0.017719651248366396,1.7719651248366397,0.7090595321496949,0.7093812488601543,0.0004537231302484217,-0.04537231302484217,0.4521488930331543,0.4426357340416871,-0.021039881194112854,2.1039881194112855,870236.0,871040.0,0.0009238873133264999,-0.09238873133264999
short_seed_1158,short,1158,2.2,True,True,True,True,True,True,True,14926,5037,66.2535173522712,16,16,0,0,0,0,2.5478418119600974,2.456970439408906,-0.03566601824517619,3.5666018245176194,17.967399006010965,17.222070979187265,-0.04148224384477415,4.148224384477415,151.97162511758503,145.95795589557378,-0.03957100029270794,3.9571000292707943,158.14250998664647,154.7201609937474,-0.021640917380077267,2.164091738007727,8.71548581100069,8.611353894986678,-0.011947918712985178,1.1947918712985177,15.98,15.98,0.0,-0.0,0.2524242535307853,0.2554766679930303,0.012092397697722638,1.2092397697722639,0.7149366841185838,0.7172257260535844,0.003201740777678285,-0.32017407776782847,0.4964361389284022,0.4838960439665243,-0.025260237880640052,2.526023788064005,876356.0,876252.0,-0.00011867323325223996,0.011867323325223996
short_seed_1159,short,1159,2.2,True,True,True,True,True,True,True,14962,5036,66.34139820879562,16,16,0,0,0,0,2.2645498800557107,2.2692270948318765,0.002065405941091798,-0.2065405941091798,10.671521013136953,10.481941979378462,-0.01776494967541309,1.7764949675413089,143.39788648067042,142.83474249532446,-0.00392714285521823,0.392714285521823,148.81578797940165,152.57432201178744,0.025256285528696958,-2.5256285528696956,8.363156806968618,8.405348135042004,0.005044904579360522,-0.5044904579360522,15.34,15.43,0.005867014341590603,-0.5867014341590603,0.2630585615908631,0.26173811776197253,-0.005019581270820859,-0.5019581270820859,0.7919965002220124,0.7835126032587141,-0.010712038450826633,1.0712038450826633,0.5523129450739361,0.5856636789976619,0.06038376290322372,-6.038376290322372,870364.0,869892.0,-0.0005423018415283721,0.05423018415283721
short_seed_1160,short,1160,2.2,True,True,True,True,True,True,True,14280,4637,67.5280112044818,15,15,0,0,0,0,2.4982289579347707,2.4722923737717792,-0.010381988440496134,1.0381988440496135,8.678362995851785,8.761346980463713,0.00956217026777912,-0.956217026777912,143.2681609876454,144.6499130106531,0.009644515665465092,-0.9644515665465092,161.02687700185925,165.8724339795299,0.03009160376136893,-3.0091603761368932,8.42239189898828,8.455030799959786,0.0038752531778325893,-0.38752531778325894,15.51,15.57,0.0038684719535783687,-0.38684719535783685,0.261208457927999,0.2602001165992753,-0.0038602935629354065,-0.3860293562935406,0.7251799851073883,0.727691252133809,0.0034629568906935585,-0.34629568906935587,0.46698962815571576,0.48526443500304595,0.03913321783934037,-3.9133217839340375,869492.0,868864.0,-0.0007222608143605692,0.07222608143605691
